,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
77,2011.0,1,Arrelious Benn,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0
141,2011.0,2,Arrelious Benn,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0
303,2011.0,3,Arrelious Benn,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR,0.0,0.5,26.0,2.5,0.0,0.0,0.0,0.0,0.5
377,2011.0,4,Arrelious Benn,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,WR,0.0,0.3333333333333333,23.666666666666668,2.6666666666666665,0.0,0.0,0.0,0.0,0.3333333333333333
471,2011.0,5,Arrelious Benn,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,3.75,WR,0.0,0.25,28.5,2.25,0.0,0.25,0.0,0.75,0.25
518,2011.0,6,Arrelious Benn,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,3.8,WR,0.0,0.2,32.0,2.4,0.0,0.2,0.0,0.6,0.4
686,2011.0,7,Arrelious Benn,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,5.5,WR,0.0,0.3333333333333333,40.5,2.5,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333
844,2011.0,9,Arrelious Benn,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,4.714285714285714,WR,0.0,0.2857142857142857,34.714285714285715,2.142857142857143,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857
922,2011.0,10,Arrelious Benn,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,4.375,WR,0.0,0.25,33.125,2.125,0.0,0.5,0.0,-0.5,0.375
1007,2011.0,11,Arrelious Benn,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,WR,0.0,0.2222222222222222,34.666666666666664,2.111111111111111,0.0,0.4444444444444444,0.0,-0.4444444444444444,0.3333333333333333
1172,2011.0,12,Arrelious Benn,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,4.6,WR,0.0,0.2,38.7,2.4,0.0,0.5,0.0,0.5,0.4
1231,2011.0,13,Arrelious Benn,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,4.181818181818182,WR,0.0,0.18181818181818182,34.90909090909091,2.272727272727273,0.0,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453
1392,2011.0,14,Arrelious Benn,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,WR,0.0,0.16666666666666666,35.833333333333336,2.3333333333333335,0.0,0.5,0.0,-0.5833333333333334,0.4166666666666667
1548,2011.0,16,Arrelious Benn,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,WR,0.0,0.15384615384615385,33.61538461538461,2.230769230769231,0.0,0.46153846153846156,0.0,-0.5384615384615384,0.46153846153846156
