,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
185,2011,2,Austin Collie,0,0,Browns,0,0,0,0,0,0,2.0,WR,0,0,24,3,0,0,0,0,0
286,2011,3,Austin Collie,0,0,Steelers,0,0,0,0,0,0,2.0,WR,0,0,29,5,0,0,0,0,0
416,2011,4,Austin Collie,0,0,Buccaneers,0,0,0,0,0,0,1.0,WR,0,0,16,2,0,0,0,0,1
467,2011,5,Austin Collie,0,0,Chiefs,0,0,0,0,0,0,5.0,WR,0,0,50,2,0,0,0,0,0
599,2011,6,Austin Collie,0,0,Bengals,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,1
670,2011,7,Austin Collie,0,0,Saints,0,0,0,0,0,0,1.0,WR,0,0,12,2,0,0,0,0,1
740,2011,8,Austin Collie,0,0,Titans,0,0,0,0,0,0,4.0,WR,0,0,44,5,0,0,0,0,1
832,2011,9,Austin Collie,0,0,Falcons,0,0,0,0,0,0,3.0,WR,0,0,32,4,0,0,0,0,0
931,2011,10,Austin Collie,0,0,Jaguars,0,0,0,0,0,0,3.0,WR,0,0,31,4,0,0,0,0,0
1142,2011,12,Austin Collie,0,0,Panthers,0,0,0,0,0,0,2.0,WR,0,0,28,3,0,0,0,0,0
1211,2011,13,Austin Collie,0,0,Patriots,0,0,0,0,0,0,7.0,WR,0,0,70,7,0,0,0,0,1
1367,2011,14,Austin Collie,0,0,Ravens,0,0,0,0,0,0,2.0,WR,0,0,25,4,0,0,0,0,1
1562,2011,16,Austin Collie,0,0,Texans,0,0,0,0,0,0,4.0,WR,0,0,49,3,0,0,0,0,0
1632,2011,17,Austin Collie,0,0,Jaguars,0,0,0,0,0,0,15.0,WR,0,1,96,9,0,0,0,0,1
