,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1728,2010.0,1,Austin Collie,0.0,1.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,21.0,WR,0.0,1.0,163.0,11.0,0.0,0.0,0.0,0.0,1.0
1861,2010.0,2,Austin Collie,0.0,1.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,21.0,WR,0.0,1.0,163.0,11.0,0.0,0.0,0.0,0.0,1.0
1926,2010.0,3,Austin Collie,0.0,0.5,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,14.5,WR,0.0,1.0,94.0,7.5,0.0,0.0,0.0,0.0,0.5
2043,2010.0,4,Austin Collie,0.0,0.3333333333333333,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,19.333333333333332,WR,0.0,1.3333333333333333,119.66666666666667,9.0,0.0,0.0,0.0,0.0,0.6666666666666666
2164,2010.0,5,Austin Collie,0.0,0.25,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,16.75,WR,0.0,1.25,99.5,8.0,0.0,0.0,0.0,0.0,0.75
2235,2010.0,6,Austin Collie,0.0,0.2,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,14.2,WR,0.0,1.0,89.2,7.4,0.0,0.0,0.0,0.0,0.6
2571,2010.0,9,Austin Collie,0.0,0.16666666666666666,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,WR,0.0,1.0,83.83333333333333,7.333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
2708,2010.0,11,Austin Collie,0.0,0.14285714285714285,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,11.714285714285714,WR,0.0,0.8571428571428571,71.71428571428571,6.428571428571429,0.0,0.0,0.0,0.0,0.7142857142857143
3100,2010.0,15,Austin Collie,0.0,0.125,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,11.0,WR,0.0,0.75,70.25,6.25,0.0,0.0,0.0,0.0,0.75
185,2011.0,2,Austin Collie,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0
286,2011.0,3,Austin Collie,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0
416,2011.0,4,Austin Collie,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,26.5,4.0,0.0,0.0,0.0,0.0,0.0
467,2011.0,5,Austin Collie,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,WR,0.0,0.0,23.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.3333333333333333
599,2011.0,6,Austin Collie,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,2.5,WR,0.0,0.0,29.75,3.0,0.0,0.0,0.0,0.0,0.25
670,2011.0,7,Austin Collie,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,25.4,2.6,0.0,0.0,0.0,0.0,0.4
740,2011.0,8,Austin Collie,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,WR,0.0,0.0,23.166666666666668,2.5,0.0,0.0,0.0,0.0,0.5
832,2011.0,9,Austin Collie,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143,WR,0.0,0.0,26.142857142857142,2.857142857142857,0.0,0.0,0.0,0.0,0.5714285714285714
931,2011.0,10,Austin Collie,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,2.25,WR,0.0,0.0,26.875,3.0,0.0,0.0,0.0,0.0,0.5
1142,2011.0,12,Austin Collie,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,WR,0.0,0.0,27.333333333333332,3.111111111111111,0.0,0.0,0.0,0.0,0.4444444444444444
1211,2011.0,13,Austin Collie,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,2.3,WR,0.0,0.0,27.4,3.1,0.0,0.0,0.0,0.0,0.4
1367,2011.0,14,Austin Collie,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,2.727272727272727,WR,0.0,0.0,31.272727272727273,3.4545454545454546,0.0,0.0,0.0,0.0,0.45454545454545453
1562,2011.0,16,Austin Collie,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,WR,0.0,0.0,30.75,3.5,0.0,0.0,0.0,0.0,0.5
1632,2011.0,17,Austin Collie,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,2.769230769230769,WR,0.0,0.0,32.15384615384615,3.4615384615384617,0.0,0.0,0.0,0.0,0.46153846153846156
9307,2012.0,3,Austin Collie,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
5951,2013.0,6,Austin Collie,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0
6089,2013.0,7,Austin Collie,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0
6807,2013.0,14,Austin Collie,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,1.5,WR,0.0,0.0,17.0,1.5,0.0,0.0,0.0,0.0,0.5
6893,2013.0,15,Austin Collie,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,12.666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
