,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2015,1,Brandin Cooks,0,0,Cardinals,0,0,0,0,0,0,4.0,WR,0,0,49,4,0,1,0,4,1,Cardinals,0,0,1,Saints,354,19,8.0,DST,54,2.0,0,408,0,0
1,2015,2,Brandin Cooks,0,0,Buccaneers,0,0,0,0,0,0,6.0,WR,0,0,62,5,0,1,0,-4,0,Buccaneers,1,2,1,Saints,219,19,16.0,DST,104,4.0,0,323,0,1
2,2015,3,Brandin Cooks,0,0,Panthers,0,0,0,0,0,0,7.0,WR,0,0,79,7,0,0,0,0,1,Panthers,0,1,1,Saints,310,22,6.0,DST,70,1.0,0,380,0,0
3,2015,4,Brandin Cooks,0,0,Cowboys,0,0,0,0,0,0,2.0,WR,0,0,25,4,0,0,0,0,0,Cowboys,0,0,0,Saints,335,26,4.0,DST,103,3.0,0,438,0,1
4,2015,5,Brandin Cooks,0,0,Eagles,0,0,0,0,0,0,16.0,WR,0,1,107,5,0,0,0,0,1,Eagles,0,3,1,Saints,292,17,17.0,DST,96,5.0,0,388,0,0
5,2015,6,Brandin Cooks,0,0,Falcons,0,0,0,0,0,0,4.0,WR,0,0,41,4,0,0,0,0,0,Falcons,0,0,0,Saints,304,31,1.0,DST,81,1.0,0,385,0,1
6,2015,7,Brandin Cooks,0,0,Colts,0,0,0,0,0,0,8.0,WR,0,0,81,6,0,0,0,0,1,Colts,0,0,1,Saints,266,27,5.0,DST,183,2.0,0,449,0,0
7,2015,8,Brandin Cooks,0,0,Giants,0,0,0,0,0,0,20.0,WR,0,2,88,6,0,1,0,-3,0,Giants,0,0,2,Saints,505,52,10.0,DST,103,0.0,0,608,1,1
8,2015,9,Brandin Cooks,0,0,Titans,0,0,0,0,0,0,13.0,WR,0,1,71,4,0,0,0,0,0,Titans,1,1,1,Saints,355,28,10.0,DST,61,4.0,0,416,0,1
9,2015,10,Brandin Cooks,0,0,Redskins,0,0,0,0,0,0,22.0,WR,0,2,98,5,0,1,0,11,1,Redskins,0,0,2,Saints,192,14,16.0,DST,158,2.0,0,350,1,0
10,2015,12,Brandin Cooks,0,0,Texans,0,0,0,0,0,0,3.0,WR,0,0,35,5,0,0,0,0,1,Texans,0,0,1,Saints,218,6,14.0,DST,50,2.0,0,268,0,0
11,2015,13,Brandin Cooks,0,0,Panthers,0,0,0,0,0,0,16.0,WR,0,1,104,6,0,0,0,0,0,Panthers,0,0,1,Saints,264,38,4.0,DST,70,2.0,0,334,0,1
12,2015,14,Brandin Cooks,0,0,Buccaneers,0,0,0,0,0,0,2.0,WR,0,0,29,3,0,0,0,0,1,Buccaneers,0,0,0,Saints,301,24,3.0,DST,87,2.0,0,388,0,0
13,2015,15,Brandin Cooks,0,0,Lions,0,0,0,0,0,0,18.0,WR,0,1,124,10,0,0,0,0,0,Lions,0,0,0,Saints,330,27,2.0,DST,69,1.0,0,399,0,1
14,2015,16,Brandin Cooks,0,0,Jaguars,0,0,0,0,0,0,19.0,WR,0,1,123,5,0,4,0,10,0,Jaguars,1,0,0,Saints,402,38,3.0,DST,135,1.0,0,537,0,1
15,2015,17,Brandin Cooks,0,0,Falcons,0,0,0,0,0,0,2.0,WR,0,0,22,5,0,0,0,0,1,Falcons,0,1,0,Saints,323,20,6.0,DST,67,0.0,0,390,0,0
