,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
36,2011,1,Brandon LaFell,0,0,Cardinals,0,0,0,0,0,0,7.0,WR,0,0,70,4,0,0,0,0,1
128,2011,2,Brandon LaFell,0,0,Packers,0,0,0,0,0,0,10.0,WR,0,1,49,4,0,0,0,0,0
373,2011,4,Brandon LaFell,0,0,Bears,0,0,0,0,0,0,4.0,WR,0,0,42,4,0,0,0,0,1
483,2011,5,Brandon LaFell,0,0,Saints,0,0,0,0,0,0,2.0,WR,0,0,20,1,0,0,0,0,0
588,2011,6,Brandon LaFell,0,0,Falcons,0,0,0,0,0,0,1.0,WR,0,0,12,1,0,0,0,0,1
617,2011,7,Brandon LaFell,0,0,Redskins,0,0,0,0,0,0,9.0,WR,0,1,39,2,0,0,0,0,0
736,2011,8,Brandon LaFell,0,0,Min,0,0,0,0,0,0,4.0,WR,0,0,44,1,0,0,0,0,0
955,2011,10,Brandon LaFell,0,0,Titans,0,0,0,0,0,0,1.0,WR,0,0,18,1,0,0,0,0,0
1018,2011,11,Brandon LaFell,0,0,Lions,0,0,0,0,0,0,5.0,WR,0,0,51,3,0,0,0,0,1
1119,2011,12,Brandon LaFell,0,0,Colts,0,0,0,0,0,0,4.0,WR,0,0,46,5,0,0,0,0,1
1215,2011,13,Brandon LaFell,0,0,Buccaneers,0,0,0,0,0,0,6.0,WR,0,0,64,3,0,0,0,0,1
1358,2011,14,Brandon LaFell,0,0,Falcons,0,0,0,0,0,0,2.0,WR,0,0,28,2,0,0,0,0,0
1514,2011,16,Brandon LaFell,0,0,Buccaneers,0,0,0,0,0,0,16.0,WR,0,1,103,3,0,0,0,0,0
1689,2011,17,Brandon LaFell,0,0,Saints,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,0,0,0,1
