,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2013,1,Carson Palmer,0,1,Rams,0,40,26,1,2,327,22.0,QB,0,0,0,0,0,0,0,0,1,Rams,0,1,1,Cardinals,304,24,9.0,DST,86,4.0,0,390,0,0
1,2013,2,Carson Palmer,0,0,Lions,0,39,22,1,1,248,13.0,QB,0,0,0,0,0,2,0,-2,0,Lions,0,0,1,Cardinals,261,25,10.0,DST,87,1.0,0,348,1,1
2,2013,3,Carson Palmer,0,0,Saints,0,35,18,2,0,187,3.0,QB,0,0,0,0,0,0,0,0,1,Saints,0,0,2,Cardinals,161,7,15.0,DST,86,4.0,0,247,0,0
3,2013,4,Carson Palmer,0,0,Buccaneers,0,38,21,2,1,248,11.0,QB,0,0,0,0,0,4,0,6,1,Buccaneers,0,1,2,Cardinals,240,13,14.0,DST,56,1.0,0,296,0,0
4,2013,5,Carson Palmer,0,0,Panthers,0,28,19,3,1,175,7.0,QB,0,0,0,0,0,3,0,-3,0,Panthers,0,0,3,Cardinals,160,22,9.0,DST,90,2.0,0,250,0,1
5,2013,6,Carson Palmer,0,0,49ers,0,41,25,2,2,298,19.0,QB,0,0,0,0,0,0,0,0,1,49ers,0,2,2,Cardinals,294,20,15.0,DST,109,1.0,1,403,0,0
6,2013,7,Carson Palmer,0,0,Seahawks,0,45,30,2,1,258,12.0,QB,0,0,0,0,0,2,0,5,0,Seahawks,0,0,2,Cardinals,204,22,12.0,DST,30,7.0,0,234,0,1
7,2013,8,Carson Palmer,0,0,Falcons,0,18,13,1,2,172,16.0,QB,0,0,0,0,0,1,0,9,0,Falcons,0,0,1,Cardinals,147,27,6.0,DST,201,3.0,0,348,0,1
8,2013,10,Carson Palmer,0,1,Texans,0,32,20,1,2,241,18.0,QB,0,0,0,0,0,2,0,-2,0,Texans,0,2,1,Cardinals,235,27,8.0,DST,97,1.0,0,332,0,1
9,2013,11,Carson Palmer,0,0,Jaguars,0,42,30,0,2,419,28.0,QB,0,0,0,0,0,3,0,-3,1,Jaguars,0,0,0,Cardinals,402,27,4.0,DST,14,3.0,0,416,0,0
10,2013,12,Carson Palmer,0,0,Colts,0,37,26,0,2,314,24.0,QB,0,0,0,0,0,0,0,0,0,Colts,1,0,0,Cardinals,290,40,5.0,DST,120,3.0,0,410,0,1
11,2013,13,Carson Palmer,0,1,Eagles,0,41,24,2,3,302,25.0,QB,0,0,0,0,0,1,0,-1,1,Eagles,0,1,2,Cardinals,260,21,12.0,DST,90,5.0,0,350,0,0
12,2013,14,Carson Palmer,0,0,Rams,0,32,27,0,1,269,16.0,QB,0,0,0,0,0,1,0,-1,0,Rams,0,1,0,Cardinals,262,30,3.0,DST,107,1.0,0,369,0,1
13,2013,15,Carson Palmer,0,0,Titans,0,30,20,0,1,231,15.0,QB,0,0,0,0,0,2,0,-1,1,Titans,0,0,0,Cardinals,215,37,2.0,DST,145,2.0,0,360,0,0
14,2013,16,Carson Palmer,0,0,Seahawks,0,25,13,4,1,178,5.0,QB,0,0,0,0,0,5,0,-3,1,Seahawks,0,0,4,Cardinals,168,17,14.0,DST,139,2.0,0,307,0,0
15,2013,17,Carson Palmer,0,0,49ers,0,49,28,1,2,407,26.0,QB,0,0,0,0,0,1,0,-1,0,49ers,0,1,1,Cardinals,399,20,9.0,DST,83,1.0,0,482,0,1
16,2015,1,Carson Palmer,0,0,Saints,0,32,19,0,3,307,31.0,QB,0,0,0,0,0,3,0,14,0,Saints,0,1,0,Cardinals,307,31,2.0,DST,120,0.0,0,427,0,1
17,2015,2,Carson Palmer,0,0,Bears,0,24,17,1,4,185,29.0,QB,0,0,0,0,0,2,0,-2,1,Bears,0,1,1,Cardinals,185,48,4.0,DST,115,0.0,0,300,0,0
18,2015,3,Carson Palmer,0,0,49ers,0,32,20,1,2,311,22.0,QB,0,0,0,0,0,1,0,1,0,49ers,0,0,1,Cardinals,307,47,3.0,DST,139,1.0,0,446,0,1
19,2015,4,Carson Palmer,0,0,Rams,0,46,29,1,1,352,18.0,QB,0,0,0,0,0,1,0,-1,0,Rams,0,2,1,Cardinals,334,22,11.0,DST,113,4.0,0,447,0,1
20,2015,5,Carson Palmer,0,0,Lions,0,14,11,0,3,161,24.0,QB,0,0,0,0,0,1,0,-1,1,Lions,0,0,0,Cardinals,158,42,2.0,DST,187,2.0,0,345,0,0
21,2015,6,Carson Palmer,0,0,Steelers,0,45,29,2,1,421,18.0,QB,0,0,0,0,0,2,0,-1,1,Steelers,0,1,2,Cardinals,414,13,14.0,DST,55,1.0,0,469,0,0
22,2015,7,Carson Palmer,0,0,Ravens,0,29,20,0,2,275,23.0,QB,0,0,0,0,0,2,0,2,0,Ravens,1,0,0,Cardinals,264,26,5.0,DST,150,2.0,0,414,0,1
23,2015,8,Carson Palmer,0,0,Browns,0,38,23,1,4,374,36.0,QB,0,0,0,0,0,3,0,6,1,Browns,0,3,1,Cardinals,372,34,9.0,DST,119,1.0,0,491,0,0
24,2015,10,Carson Palmer,0,2,Seahawks,0,47,29,1,3,363,28.0,QB,0,0,0,0,0,3,0,-2,1,Seahawks,0,2,1,Cardinals,334,39,15.0,DST,117,3.0,0,451,1,0
25,2015,11,Carson Palmer,0,0,Bengals,0,31,20,2,4,317,32.0,QB,0,0,0,0,0,1,0,-1,0,Bengals,0,0,2,Cardinals,301,34,6.0,DST,82,2.0,0,383,0,1
26,2015,12,Carson Palmer,0,0,49ers,0,40,24,0,0,271,16.0,QB,0,0,0,0,0,3,1,6,1,49ers,0,0,0,Cardinals,267,19,5.0,DST,70,1.0,0,337,0,0
27,2015,13,Carson Palmer,0,0,Rams,0,40,26,0,2,356,26.0,QB,0,0,0,0,0,0,0,0,1,Rams,0,0,0,Cardinals,349,27,3.0,DST,175,2.0,0,524,0,0
28,2015,15,Carson Palmer,0,0,Eagles,0,32,20,0,1,274,16.0,QB,0,0,0,0,0,0,0,0,1,Eagles,0,0,0,Cardinals,263,40,2.0,DST,230,2.0,0,493,0,0
29,2015,16,Carson Palmer,0,0,Packers,0,27,18,1,2,265,20.0,QB,0,0,0,0,0,0,0,0,0,Packers,0,1,1,Cardinals,260,38,6.0,DST,121,2.0,0,381,0,1
30,2015,17,Carson Palmer,0,0,Seahawks,0,25,12,1,1,129,9.0,QB,0,0,0,0,0,0,0,0,0,Seahawks,0,0,3,Cardinals,205,6,18.0,DST,27,2.0,0,232,0,1
31,2012,1,Carson Palmer,0,0,Chargers,1,46,32,0,1,297,19.0,QB,0,0,0,0,0,0,0,0,0,Chargers,1,1,0,Raiders,276,14,11.0,DST,45,3.0,0,321,0,1
