,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5861,2013.0,5,Chris Hogan,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0
5986,2013.0,6,Chris Hogan,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0
6364,2013.0,10,Chris Hogan,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,0.5,WR,0.0,0.0,9.0,1.5,0.0,0.0,0.0,0.0,0.5
6454,2013.0,11,Chris Hogan,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,WR,0.0,0.0,11.333333333333334,1.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
6787,2013.0,14,Chris Hogan,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,15.75,1.75,0.0,0.0,0.0,0.0,0.5
7033,2013.0,16,Chris Hogan,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,15.0,1.6,0.0,0.0,0.0,0.0,0.6
11286,2014.0,5,Chris Hogan,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,1.0
11351,2014.0,6,Chris Hogan,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,1.0
11496,2014.0,7,Chris Hogan,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,7.5,WR,0.0,0.5,49.5,3.5,0.0,0.0,0.0,0.0,0.5
11642,2014.0,8,Chris Hogan,0.0,0.3333333333333333,Jets,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,WR,0.0,0.3333333333333333,54.0,4.0,0.0,0.0,0.0,0.0,0.3333333333333333
11792,2014.0,10,Chris Hogan,0.0,0.25,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,5.25,WR,0.0,0.25,44.0,3.25,0.0,0.0,0.0,0.0,0.5
11895,2014.0,11,Chris Hogan,0.0,0.4,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,6.2,WR,0.0,0.4,46.6,3.6,0.0,0.0,0.0,0.0,0.4
12052,2014.0,12,Chris Hogan,0.0,0.3333333333333333,Jets,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,WR,0.0,0.3333333333333333,51.166666666666664,4.166666666666667,0.0,0.0,0.0,0.0,0.5
