,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2016,1,Cordarrelle Patterson,0,0,Titans,0,0,0,0,0,0,0.0,WR,0,0,6,1,0,1,0,8,1,Titans,0,0,0,Min,236,25,1.0,DST,65,0.0,0,301,0,0
1,2016,2,Cordarrelle Patterson,0,0,Packers,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,-2,0,Packers,0,1,0,Min,254,17,10.0,DST,30,4.0,0,284,0,1
2,2016,3,Cordarrelle Patterson,0,0,Panthers,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,1,Panthers,0,0,0,Min,153,22,3.0,DST,58,2.0,0,211,0,0
3,2016,4,Cordarrelle Patterson,0,0,Giants,0,0,0,0,0,0,3.0,WR,0,0,38,5,0,1,0,2,0,Giants,0,0,0,Min,262,24,1.0,DST,104,0.0,0,366,0,1
4,2016,5,Cordarrelle Patterson,0,0,Texans,0,0,0,0,0,0,9.0,WR,0,1,39,4,0,1,0,7,0,Texans,0,0,0,Min,255,31,2.0,DST,96,2.0,0,351,0,1
5,2016,7,Cordarrelle Patterson,0,0,Eagles,0,0,0,0,0,0,12.0,WR,0,1,67,7,0,0,0,0,1,Eagles,0,3,1,Min,189,10,27.0,DST,93,6.0,0,282,1,0
6,2016,8,Cordarrelle Patterson,0,0,Bears,0,0,0,0,0,0,3.0,WR,0,0,36,3,0,0,0,0,1,Bears,0,0,0,Min,201,10,12.0,DST,57,5.0,0,258,0,0
7,2016,9,Cordarrelle Patterson,0,0,Lions,0,0,0,0,0,0,4.0,WR,0,0,45,6,0,0,0,0,0,Lions,1,0,0,Min,259,16,8.0,DST,78,2.0,0,337,0,1
8,2016,10,Cordarrelle Patterson,0,0,Redskins,0,0,0,0,0,0,1.0,WR,0,0,17,3,0,0,0,0,1,Redskins,0,0,1,Min,284,20,9.0,DST,47,3.0,0,331,0,0
9,2016,11,Cordarrelle Patterson,0,0,Cardinals,0,0,0,0,0,0,5.0,WR,0,0,53,4,0,0,0,0,0,Cardinals,1,1,0,Min,145,30,6.0,DST,72,2.0,0,217,0,1
10,2016,12,Cordarrelle Patterson,0,0,Lions,0,0,0,0,0,0,3.0,WR,0,0,15,5,0,1,0,22,1,Lions,0,0,1,Min,224,13,9.0,DST,82,0.0,0,306,0,0
11,2016,13,Cordarrelle Patterson,0,0,Cowboys,0,0,0,0,0,0,1.0,WR,0,0,10,2,0,2,0,6,0,Cowboys,0,1,0,Min,231,15,9.0,DST,87,3.0,0,318,0,1
12,2016,14,Cordarrelle Patterson,0,0,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,18,3,0,0,0,0,1,Jaguars,0,1,0,Min,292,25,3.0,DST,85,0.0,0,377,0,0
13,2016,15,Cordarrelle Patterson,0,0,Colts,0,0,0,0,0,0,4.0,WR,0,0,49,5,0,0,0,0,0,Colts,0,2,1,Min,248,6,21.0,DST,34,5.0,0,282,0,1
14,2016,16,Cordarrelle Patterson,0,0,Packers,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,1,Packers,0,2,0,Min,353,25,9.0,DST,93,4.0,0,446,0,0
15,2016,17,Cordarrelle Patterson,0,0,Bears,0,0,0,0,0,0,3.0,WR,0,0,39,1,0,0,0,0,0,Bears,0,0,1,Min,250,38,2.0,DST,124,0.0,0,374,0,1
16,2013,1,Cordarrelle Patterson,0,0,Lions,0,0,0,0,0,0,1.0,WR,0,0,10,1,0,0,0,0,1,Lions,0,1,3,Min,225,24,12.0,DST,105,3.0,0,330,0,0
17,2013,2,Cordarrelle Patterson,0,0,Bears,0,0,0,0,0,0,1.0,WR,0,0,14,2,0,0,0,0,1,Bears,0,2,1,Min,227,30,13.0,DST,123,1.0,0,350,1,0
18,2013,3,Cordarrelle Patterson,0,0,Browns,0,0,0,0,0,0,4.0,WR,0,0,49,2,0,1,0,0,0,Browns,0,2,1,Min,195,27,13.0,DST,134,6.0,0,329,0,1
19,2013,4,Cordarrelle Patterson,0,0,Steelers,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,0,Steelers,0,0,0,Min,248,34,1.0,DST,145,1.0,0,393,0,1
20,2013,6,Cordarrelle Patterson,0,0,Panthers,0,0,0,0,0,0,0.0,WR,0,0,3,2,0,0,0,0,0,Panthers,0,0,2,Min,215,10,14.0,DST,75,3.0,0,290,0,1
21,2013,7,Cordarrelle Patterson,0,0,Giants,0,0,0,0,0,0,2.0,WR,0,0,22,3,0,1,0,2,1,Giants,0,2,1,Min,176,7,14.0,DST,30,1.0,0,206,0,0
22,2013,8,Cordarrelle Patterson,0,0,Packers,0,0,0,0,0,0,2.0,WR,0,0,26,2,0,0,0,0,0,Packers,0,0,0,Min,132,31,9.0,DST,111,3.0,0,243,1,1
23,2013,9,Cordarrelle Patterson,0,0,Cowboys,0,0,0,0,0,0,1.0,WR,0,0,13,3,0,0,0,0,1,Cowboys,0,1,1,Min,224,23,13.0,DST,169,2.0,0,393,1,0
24,2013,10,Cordarrelle Patterson,0,0,Redskins,0,0,0,0,0,0,8.0,WR,0,1,22,2,0,0,0,0,0,Redskins,0,0,1,Min,216,34,3.0,DST,91,1.0,0,307,0,1
25,2013,11,Cordarrelle Patterson,0,0,Seahawks,0,0,0,0,0,0,2.0,WR,0,0,28,3,0,0,0,0,1,Seahawks,0,1,3,Min,204,20,20.0,DST,132,2.0,0,336,1,0
26,2013,12,Cordarrelle Patterson,0,0,Packers,0,0,0,0,0,0,5.0,WR,0,0,54,8,0,0,0,0,1,Packers,0,1,0,Min,215,26,9.0,DST,232,6.0,0,447,0,0
27,2013,13,Cordarrelle Patterson,0,0,Bears,0,0,0,0,0,0,8.0,WR,0,0,4,1,0,2,1,27,0,Bears,0,0,1,Min,250,23,8.0,DST,246,5.0,0,496,0,1
28,2013,14,Cordarrelle Patterson,0,0,Ravens,0,0,0,0,0,0,20.0,WR,0,1,141,5,0,1,0,6,1,Ravens,0,1,0,Min,265,26,9.0,DST,114,0.0,0,379,1,0
29,2013,15,Cordarrelle Patterson,0,0,Eagles,0,0,0,0,0,0,10.0,WR,0,1,35,5,0,2,0,15,0,Eagles,0,0,1,Min,370,48,5.0,DST,85,3.0,0,455,0,1
30,2013,16,Cordarrelle Patterson,0,0,Bengals,0,0,0,0,0,0,11.0,WR,0,0,8,3,0,3,1,54,1,Bengals,0,1,3,Min,94,14,22.0,DST,115,4.0,0,209,1,0
31,2013,17,Cordarrelle Patterson,0,0,Lions,0,0,0,0,0,0,20.0,WR,0,1,31,2,0,2,1,54,0,Lions,0,1,1,Min,171,14,11.0,DST,174,3.0,0,345,0,1
32,2015,1,Cordarrelle Patterson,0,0,49ers,0,0,0,0,0,0,0.0,WR,0,0,1,1,0,0,0,0,1,49ers,0,0,1,Min,177,3,17.0,DST,71,5.0,0,248,0,0
33,2015,3,Cordarrelle Patterson,0,0,Chargers,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,9,0,Chargers,0,0,1,Min,121,31,2.0,DST,163,0.0,0,284,0,1
34,2015,4,Cordarrelle Patterson,0,0,Broncos,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,1,Broncos,0,1,0,Min,212,20,13.0,DST,113,7.0,0,325,0,0
35,2015,10,Cordarrelle Patterson,0,0,Raiders,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,6,1,Raiders,1,0,0,Min,122,30,6.0,DST,263,4.0,0,385,0,0
36,2015,17,Cordarrelle Patterson,0,1,Packers,0,0,0,0,0,0,-1.0,WR,0,0,0,0,0,0,0,0,1,Packers,0,1,1,Min,91,20,11.0,DST,151,3.0,0,242,0,0
37,2014,1,Cordarrelle Patterson,0,0,Rams,0,0,0,0,0,0,18.0,WR,0,0,26,3,0,3,1,102,1,Rams,0,0,0,Min,170,34,0.0,DST,185,0.0,0,355,0,0
38,2014,2,Cordarrelle Patterson,0,0,Patriots,0,0,0,0,0,0,5.0,WR,0,0,56,4,0,0,0,0,0,Patriots,1,0,4,Min,163,7,29.0,DST,54,6.0,0,217,1,1
39,2014,3,Cordarrelle Patterson,0,0,Saints,0,0,0,0,0,0,6.0,WR,0,0,61,4,0,1,0,-7,1,Saints,0,0,0,Min,188,9,9.0,DST,59,2.0,0,247,0,0
40,2014,4,Cordarrelle Patterson,0,0,Falcons,0,0,0,0,0,0,3.0,WR,0,0,38,2,0,0,0,0,0,Falcons,0,0,0,Min,317,41,0.0,DST,241,0.0,0,558,0,1
