,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
9069,2012,1,Damaris Johnson,0,0,Browns,0,0,0,0,0,0,1.0,WR,0,0,10,1,0,0,0,0,1
9169,2012,2,Damaris Johnson,0,0,Ravens,0,0,0,0,0,0,1.0,WR,0,0,13,1,0,1,0,6,0
9232,2012,3,Damaris Johnson,0,1,Cardinals,0,0,0,0,0,0,7.0,WR,0,0,84,5,0,0,0,0,1
9393,2012,4,Damaris Johnson,0,0,Giants,0,0,0,0,0,0,1.0,WR,0,0,17,1,0,1,0,-1,0
9963,2012,10,Damaris Johnson,0,0,Cowboys,0,0,0,0,0,0,3.0,WR,0,0,32,1,0,0,0,0,0
10068,2012,11,Damaris Johnson,0,0,Redskins,0,0,0,0,0,0,2.0,WR,0,0,21,1,0,0,0,0,1
10191,2012,12,Damaris Johnson,0,0,Panthers,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,0
10305,2012,13,Damaris Johnson,0,0,Cowboys,0,0,0,0,0,0,1.0,WR,0,0,13,1,0,0,0,0,1
10421,2012,14,Damaris Johnson,0,1,Buccaneers,0,0,0,0,0,0,1.0,WR,0,0,20,2,0,0,0,0,1
10621,2012,16,Damaris Johnson,0,0,Redskins,0,0,0,0,0,0,2.0,WR,0,0,25,3,0,0,0,0,0
10759,2012,17,Damaris Johnson,0,0,Giants,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,1,0,7,1
