,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
61,2011,1,Danny Amendola,0,0,Eagles,0,0,0,0,0,0,4.0,WR,0,0,45,5,0,0,0,0,0
1765,2010,1,Danny Amendola,0,0,Cardinals,0,0,0,0,0,0,6.0,WR,0,0,67,6,0,0,0,0,0
1891,2010,2,Danny Amendola,0,0,Raiders,0,0,0,0,0,0,3.0,WR,0,0,39,4,0,0,0,0,1
1973,2010,3,Danny Amendola,0,0,Redskins,0,0,0,0,0,0,5.0,WR,0,0,56,6,0,0,0,0,0
2068,2010,4,Danny Amendola,0,0,Seahawks,0,0,0,0,0,0,4.0,WR,0,0,46,5,0,0,0,0,0
2149,2010,5,Danny Amendola,0,1,Lions,0,0,0,0,0,0,8.0,WR,0,0,95,12,0,0,0,0,1
2295,2010,6,Danny Amendola,0,0,Chargers,0,0,0,0,0,0,1.0,WR,0,0,19,3,0,0,0,0,0
2331,2010,7,Danny Amendola,0,0,Buccaneers,0,0,0,0,0,0,10.0,WR,0,1,29,3,0,1,0,21,1
2425,2010,8,Danny Amendola,0,0,Panthers,0,0,0,0,0,0,8.0,WR,0,1,28,6,0,0,0,0,0
2596,2010,10,Danny Amendola,0,0,49ers,0,0,0,0,0,0,12.0,WR,0,1,51,7,0,2,0,12,1
2710,2010,11,Danny Amendola,0,0,Falcons,0,0,0,0,0,0,6.0,WR,0,0,63,8,0,0,0,0,0
2806,2010,12,Danny Amendola,0,0,Broncos,0,0,0,0,0,0,8.0,WR,0,0,41,4,0,3,0,48,1
2976,2010,13,Danny Amendola,0,0,Cardinals,0,0,0,0,0,0,1.0,WR,0,0,17,1,0,1,0,0,1
3081,2010,14,Danny Amendola,0,0,Saints,0,0,0,0,0,0,1.0,WR,0,0,16,3,0,0,0,0,1
3139,2010,15,Danny Amendola,0,0,Chiefs,0,0,0,0,0,0,6.0,WR,0,0,60,7,0,0,0,0,0
3251,2010,16,Danny Amendola,0,0,49ers,0,0,0,0,0,0,5.0,WR,0,0,53,8,0,0,0,0,0
3415,2010,17,Danny Amendola,0,0,Seahawks,0,0,0,0,0,0,0.0,WR,0,0,9,2,0,0,0,0,1
3481,2016,1,Danny Amendola,0,0,Cardinals,0,0,0,0,0,0,4.0,WR,0,0,48,3,0,0,0,0,1
3539,2016,2,Danny Amendola,0,1,Dolphins,0,0,0,0,0,0,15.0,WR,0,2,48,4,0,0,0,0,0
3742,2016,3,Danny Amendola,0,0,Texans,0,0,0,0,0,0,2.0,WR,0,0,23,2,0,0,0,0,0
3965,2016,5,Danny Amendola,0,0,Browns,0,0,0,0,0,0,1.0,WR,0,0,11,2,0,0,0,0,1
4056,2016,6,Danny Amendola,0,0,Bengals,0,0,0,0,0,0,3.0,WR,0,0,30,2,0,0,0,0,0
4238,2016,8,Danny Amendola,0,0,Bills,0,0,0,0,0,0,8.0,WR,0,1,29,3,0,0,0,0,1
4493,2016,10,Danny Amendola,0,0,Seahawks,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,0
4545,2016,11,Danny Amendola,0,0,49ers,0,0,0,0,0,0,6.0,WR,0,1,2,2,0,0,0,0,1
4741,2016,12,Danny Amendola,0,0,Jets,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,1
4814,2016,13,Danny Amendola,0,0,LA,0,0,0,0,0,0,3.0,WR,0,0,30,3,0,0,0,0,0
5376,2013,1,Danny Amendola,0,0,Bills,0,0,0,0,0,0,10.0,WR,0,0,104,10,0,0,0,0,1
5830,2013,5,Danny Amendola,0,0,Bengals,0,0,0,0,0,0,5.0,WR,0,0,55,4,0,0,0,0,1
5994,2013,6,Danny Amendola,0,0,Saints,0,0,0,0,0,0,0.0,WR,0,0,0,2,0,1,0,1,0
6177,2013,8,Danny Amendola,0,0,Dolphins,0,0,0,0,0,0,1.0,WR,0,0,15,3,0,0,0,0,0
6203,2013,9,Danny Amendola,0,0,Steelers,0,0,0,0,0,0,18.0,WR,0,1,122,4,0,0,0,0,0
6434,2013,11,Danny Amendola,0,0,Panthers,0,0,0,0,0,0,4.0,WR,0,0,45,6,0,0,0,0,1
6571,2013,12,Danny Amendola,0,0,Broncos,0,0,0,0,0,0,1.0,WR,0,0,17,3,0,0,0,0,0
6637,2013,13,Danny Amendola,0,0,Texans,0,0,0,0,0,0,5.0,WR,0,0,54,5,0,0,0,0,1
6733,2013,14,Danny Amendola,0,0,Browns,0,0,0,0,0,0,9.0,WR,0,1,36,4,0,0,0,0,0
6825,2013,15,Danny Amendola,0,0,Dolphins,0,0,0,0,0,0,13.0,WR,0,0,131,10,0,0,0,0,1
6978,2013,16,Danny Amendola,0,0,Ravens,0,0,0,0,0,0,4.0,WR,0,0,45,2,0,0,0,0,1
7145,2013,17,Danny Amendola,0,0,Bills,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,0
7230,2015,1,Danny Amendola,0,0,Steelers,0,0,0,0,0,0,2.0,WR,0,0,24,2,0,0,0,0,0
7339,2015,2,Danny Amendola,0,0,Bills,0,0,0,0,0,0,2.0,WR,0,0,29,1,0,1,0,3,1
7405,2015,3,Danny Amendola,0,0,Jaguars,0,0,0,0,0,0,9.0,WR,0,1,39,5,0,0,0,0,0
7682,2015,5,Danny Amendola,0,0,Cowboys,0,0,0,0,0,0,0.0,WR,0,0,6,2,0,0,0,0,1
7714,2015,6,Danny Amendola,0,0,Colts,0,0,0,0,0,0,10.0,WR,0,0,105,7,0,0,0,0,1
7799,2015,7,Danny Amendola,0,0,Jets,0,0,0,0,0,0,14.0,WR,0,1,86,8,0,0,0,0,0
7974,2015,8,Danny Amendola,0,0,Dolphins,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,0
8059,2015,9,Danny Amendola,0,0,Redskins,0,0,0,0,0,0,2.0,WR,0,0,24,4,0,1,0,8,0
8110,2015,10,Danny Amendola,0,0,Giants,0,0,0,0,0,0,7.0,WR,0,0,79,10,0,0,0,0,1
8200,2015,11,Danny Amendola,0,0,Bills,0,0,0,0,0,0,11.0,WR,0,0,117,9,0,0,0,0,0
8414,2015,13,Danny Amendola,0,0,Eagles,0,1,1,0,0,36,13.0,WR,0,1,62,7,0,0,0,0,0
8573,2015,14,Danny Amendola,0,0,Texans,0,0,0,0,0,0,4.0,WR,0,0,46,6,0,0,0,0,1
8746,2015,15,Danny Amendola,0,1,Titans,0,0,0,0,0,0,-1.0,WR,0,0,3,1,0,0,0,0,0
8956,2015,17,Danny Amendola,0,0,Dolphins,0,0,0,0,0,0,1.0,WR,0,0,17,2,0,0,0,0,1
9015,2012,1,Danny Amendola,0,0,Lions,0,0,0,0,0,0,7.0,WR,0,0,70,5,0,1,0,2,1
9087,2012,2,Danny Amendola,0,1,Redskins,0,0,0,0,0,0,21.0,WR,0,1,160,15,0,0,0,0,0
9238,2012,3,Danny Amendola,0,0,Bears,0,0,0,0,0,0,6.0,WR,0,0,66,5,0,0,0,0,1
9338,2012,4,Danny Amendola,0,0,Seahawks,0,0,0,0,0,0,11.0,WR,0,1,55,6,0,1,0,6,0
9470,2012,5,Danny Amendola,0,0,Cardinals,0,0,0,0,0,0,4.0,WR,0,0,44,1,0,0,0,0,0
9927,2012,10,Danny Amendola,0,0,49ers,0,0,0,0,0,0,10.0,WR,0,0,102,11,0,0,0,0,1
10055,2012,11,Danny Amendola,0,0,Jets,0,0,0,0,0,0,4.0,WR,0,0,41,7,0,0,0,0,0
10178,2012,12,Danny Amendola,0,0,Cardinals,0,0,0,0,0,0,3.0,WR,0,0,38,1,0,0,0,0,1
10450,2012,15,Danny Amendola,0,0,Min,0,0,0,0,0,0,13.0,WR,1,1,58,6,0,0,0,0,0
10657,2012,16,Danny Amendola,0,1,Buccaneers,0,0,0,0,0,0,-1.0,WR,0,0,5,2,0,0,0,0,1
10740,2012,17,Danny Amendola,0,0,Seahawks,0,0,0,0,0,0,2.0,WR,0,0,27,4,0,0,0,0,1
10860,2014,1,Danny Amendola,0,0,Dolphins,0,0,0,0,0,0,1.0,WR,0,0,16,3,0,0,0,0,1
11328,2014,5,Danny Amendola,0,0,Bengals,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,0,0,0,0
11485,2014,7,Danny Amendola,0,0,Jets,0,0,0,0,0,0,7.0,WR,0,1,19,1,0,0,0,0,0
11665,2014,8,Danny Amendola,0,0,Bears,0,0,0,0,0,0,0.0,WR,0,0,5,2,0,0,0,0,0
11722,2014,9,Danny Amendola,0,0,Broncos,0,0,0,0,0,0,3.0,WR,0,0,35,2,0,0,0,0,0
11943,2014,11,Danny Amendola,0,0,Colts,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,1
12286,2014,14,Danny Amendola,0,0,Chargers,0,0,0,0,0,0,0.0,WR,0,0,7,3,0,0,0,0,1
12381,2014,15,Danny Amendola,0,0,Dolphins,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,0
12442,2014,16,Danny Amendola,0,0,Jets,0,0,0,0,0,0,6.0,WR,0,0,63,8,0,0,0,0,1
12582,2014,17,Danny Amendola,0,0,Bills,0,0,0,0,0,0,2.0,WR,0,0,24,4,0,0,0,0,0
