,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
10811,2014.0,1,DeSean Jackson,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,62.0,8.0,0.0,1.0,0.0,-9.0,1.0
10962,2014.0,2,DeSean Jackson,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,62.0,8.0,0.0,1.0,0.0,-9.0,1.0
10998,2014.0,3,DeSean Jackson,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,3.5,WR,0.0,0.0,40.5,4.5,0.0,0.5,0.0,-4.5,0.5
11212,2014.0,4,DeSean Jackson,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,8.0,WR,0.0,0.3333333333333333,66.0,4.666666666666667,0.0,0.3333333333333333,0.0,-3.0,0.6666666666666666
11215,2014.0,5,DeSean Jackson,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.25,51.75,3.75,0.0,0.25,0.0,-2.25,0.5
11340,2014.0,6,DeSean Jackson,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR,0.0,0.4,72.8,4.0,0.0,0.2,0.0,-1.8,0.4
11504,2014.0,7,DeSean Jackson,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,WR,0.0,0.5,79.83333333333333,3.8333333333333335,0.0,0.3333333333333333,0.0,-0.6666666666666666,0.5
11570,2014.0,8,DeSean Jackson,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,WR,0.0,0.42857142857142855,75.42857142857143,3.7142857142857144,0.0,0.2857142857142857,0.0,-0.5714285714285714,0.42857142857142855
11670,2014.0,9,DeSean Jackson,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,9.875,WR,0.0,0.375,83.0,4.0,0.0,0.25,0.0,-0.5,0.5
11920,2014.0,11,DeSean Jackson,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,10.777777777777779,WR,0.0,0.4444444444444444,87.11111111111111,4.0,0.0,0.2222222222222222,0.0,-0.4444444444444444,0.5555555555555556
12021,2014.0,12,DeSean Jackson,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,0.4,81.9,4.0,0.0,0.3,0.0,-0.2,0.5
12072,2014.0,13,DeSean Jackson,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,9.363636363636363,WR,0.0,0.36363636363636365,78.0,3.8181818181818183,0.0,0.2727272727272727,0.0,-0.18181818181818182,0.5454545454545454
12373,2014.0,15,DeSean Jackson,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,9.75,WR,0.0,0.4166666666666667,78.5,3.9166666666666665,0.0,0.25,0.0,-0.16666666666666666,0.5833333333333334
12410,2014.0,16,DeSean Jackson,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,9.076923076923077,WR,0.0,0.38461538461538464,73.61538461538461,3.8461538461538463,0.0,0.3076923076923077,0.0,0.5384615384615384,0.6153846153846154
12517,2014.0,17,DeSean Jackson,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,9.285714285714286,WR,0.0,0.35714285714285715,77.35714285714286,3.857142857142857,0.0,0.2857142857142857,0.0,0.5,0.5714285714285714
