,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3552,2016.0,2,DeVante Parker,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,0.0,106.0,8.0,0.0,0.0,0.0,0.0,1.0
3674,2016.0,3,DeVante Parker,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,0.0,106.0,8.0,0.0,0.0,0.0,0.0,1.0
3846,2016.0,4,DeVante Parker,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,10.5,WR,0.0,0.5,78.5,5.5,0.0,0.0,0.0,0.0,0.5
3913,2016.0,5,DeVante Parker,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,WR,0.0,0.3333333333333333,59.0,4.333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
4064,2016.0,6,DeVante Parker,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,7.5,WR,0.0,0.25,61.75,3.75,0.0,0.0,0.0,0.0,0.5
4162,2016.0,7,DeVante Parker,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,6.4,WR,0.0,0.2,55.0,4.0,0.0,0.0,0.0,0.0,0.4
4396,2016.0,9,DeVante Parker,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,WR,0.0,0.16666666666666666,49.166666666666664,3.8333333333333335,0.0,0.0,0.0,0.0,0.3333333333333333
4434,2016.0,10,DeVante Parker,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,4.857142857142857,WR,0.0,0.14285714285714285,43.285714285714285,3.5714285714285716,0.0,0.0,0.0,0.0,0.2857142857142857
4518,2016.0,11,DeVante Parker,0.0,0.0,LA,0.0,0.0,0.0,0.0,0.0,0.0,5.5,WR,0.0,0.125,50.75,3.75,0.0,0.0,0.0,0.0,0.375
4662,2016.0,12,DeVante Parker,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333333333,WR,0.0,0.2222222222222222,53.888888888888886,4.222222222222222,0.0,0.0,0.0,0.0,0.4444444444444444
4766,2016.0,13,DeVante Parker,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,6.3,WR,0.0,0.2,54.9,4.1,0.0,0.0,0.0,0.0,0.4
4945,2016.0,14,DeVante Parker,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,6.545454545454546,WR,0.0,0.2727272727272727,53.0,4.0,0.0,0.0,0.0,0.0,0.45454545454545453
5066,2016.0,15,DeVante Parker,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,6.083333333333333,WR,0.0,0.25,49.75,3.8333333333333335,0.0,0.0,0.0,0.0,0.4166666666666667
5110,2016.0,16,DeVante Parker,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,5.6923076923076925,WR,0.0,0.23076923076923078,47.23076923076923,3.6153846153846154,0.0,0.0,0.0,0.0,0.46153846153846156
5278,2016.0,17,DeVante Parker,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,WR,0.0,0.2857142857142857,49.92857142857143,3.642857142857143,0.0,0.0,0.0,0.0,0.5
