,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,7,Demaryius Thomas,0,0,Dolphins,0,0,0,0,0,0,8.0,WR,0,1,27,3,0,0,0,0,1,Dolphins,0,1,0,Broncos,131,18,12.0,DST,177,6.0,0,308,0,0
1,2011,8,Demaryius Thomas,0,0,Lions,0,0,0,0,0,0,1.0,WR,0,0,10,1,0,0,0,0,0,Lions,0,2,1,Broncos,117,10,32.0,DST,195,7.0,0,312,2,1
2,2011,9,Demaryius Thomas,0,0,Raiders,0,0,0,0,0,0,2.0,WR,0,0,29,1,0,0,0,0,1,Raiders,0,0,0,Broncos,113,38,1.0,DST,299,1.0,0,412,0,0
3,2011,11,Demaryius Thomas,0,0,Jets,0,0,0,0,0,0,3.0,WR,0,0,37,2,0,0,0,0,0,Jets,0,1,0,Broncos,104,17,7.0,DST,125,1.0,0,229,0,1
4,2011,14,Demaryius Thomas,0,0,Bears,0,0,0,0,0,0,13.0,WR,0,1,78,7,0,1,0,5,0,Bears,1,1,1,Broncos,221,13,18.0,DST,124,5.0,0,345,0,1
5,2011,15,Demaryius Thomas,0,0,Patriots,0,1,0,0,0,0,11.0,WR,0,0,116,7,0,0,0,0,0,Patriots,0,3,0,Broncos,141,23,11.0,DST,252,4.0,0,393,0,1
6,2011,16,Demaryius Thomas,0,0,Bills,0,0,0,0,0,0,7.0,WR,0,0,76,4,0,0,0,0,1,Bills,0,1,3,Broncos,152,14,34.0,DST,133,4.0,0,285,3,0
7,2011,17,Demaryius Thomas,0,0,Chiefs,0,0,0,0,0,0,3.0,WR,0,0,34,3,0,0,0,0,0,Chiefs,0,1,1,Broncos,50,3,16.0,DST,216,2.0,0,266,0,1
8,2010,2,Demaryius Thomas,0,0,Seahawks,0,0,0,0,0,0,15.0,WR,0,1,97,8,0,0,0,0,0,Seahawks,0,0,0,Broncos,304,31,1.0,DST,65,1.0,0,369,0,1
9,2010,3,Demaryius Thomas,0,0,Colts,0,0,0,0,0,0,4.0,WR,0,0,43,2,0,0,0,0,0,Colts,0,1,1,Broncos,472,13,12.0,DST,47,1.0,0,519,0,1
10,2010,4,Demaryius Thomas,0,0,Titans,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,1,Titans,0,0,1,Broncos,308,26,15.0,DST,19,6.0,0,327,1,0
11,2010,5,Demaryius Thomas,0,1,Ravens,0,0,0,0,0,0,0.0,WR,0,0,12,2,0,0,0,0,1,Ravens,0,1,0,Broncos,307,17,7.0,DST,39,1.0,0,346,0,0
12,2010,6,Demaryius Thomas,0,0,Jets,0,0,0,0,0,0,7.0,WR,0,1,17,1,0,0,0,0,0,Jets,0,2,0,Broncos,201,20,9.0,DST,145,1.0,0,346,0,1
13,2010,7,Demaryius Thomas,0,1,Raiders,0,0,0,0,0,0,-1.0,WR,0,0,6,1,0,1,0,1,0,Raiders,0,2,1,Broncos,165,14,20.0,DST,75,4.0,0,240,1,1
14,2010,8,Demaryius Thomas,0,0,49ers,0,0,0,0,0,0,3.0,WR,0,0,31,1,0,1,0,0,1,49ers,0,1,1,Broncos,339,16,12.0,DST,59,4.0,0,398,0,0
15,2010,10,Demaryius Thomas,0,0,Chiefs,0,0,0,0,0,0,5.0,WR,0,0,51,3,0,0,0,0,0,Chiefs,0,0,0,Broncos,299,49,0.0,DST,153,0.0,0,452,0,1
16,2010,11,Demaryius Thomas,0,0,Chargers,0,0,0,0,0,0,1.0,WR,0,0,17,3,0,0,0,0,1,Chargers,0,0,1,Broncos,172,14,11.0,DST,63,5.0,0,235,0,0
17,2016,1,Demaryius Thomas,0,0,Panthers,0,0,0,0,0,0,4.0,WR,0,0,48,4,0,0,0,0,0,Panthers,0,1,2,Broncos,159,21,9.0,DST,148,2.0,0,307,0,1
18,2016,2,Demaryius Thomas,0,0,Colts,0,0,0,0,0,0,11.0,WR,1,0,90,5,0,0,0,0,0,Colts,0,0,1,Broncos,266,34,3.0,DST,134,1.0,0,400,0,1
19,2016,3,Demaryius Thomas,0,1,Bengals,0,0,0,0,0,0,15.0,WR,0,1,100,6,0,0,0,0,1,Bengals,1,1,0,Broncos,303,29,6.0,DST,52,2.0,0,355,0,0
20,2016,4,Demaryius Thomas,0,0,Buccaneers,0,0,0,0,0,0,15.0,WR,0,1,94,6,0,0,0,0,1,Buccaneers,0,0,0,Broncos,218,27,5.0,DST,89,4.0,0,307,0,0
21,2016,5,Demaryius Thomas,0,0,Falcons,0,0,0,0,0,0,10.0,WR,0,1,49,5,0,0,0,0,0,Falcons,0,0,1,Broncos,183,16,12.0,DST,84,6.0,0,267,0,1
22,2016,6,Demaryius Thomas,0,1,Chargers,0,0,0,0,0,0,2.0,WR,0,0,35,5,0,0,0,0,1,Chargers,0,2,0,Broncos,220,13,15.0,DST,84,2.0,1,304,0,0
23,2016,7,Demaryius Thomas,0,0,Texans,0,0,0,0,0,0,10.0,WR,0,1,40,6,0,0,0,0,0,Texans,0,0,0,Broncos,157,27,1.0,DST,190,0.0,0,347,0,1
24,2016,8,Demaryius Thomas,0,0,Chargers,0,0,0,0,0,0,7.0,WR,0,0,79,5,0,0,0,0,0,Chargers,0,2,1,Broncos,267,27,14.0,DST,57,1.0,0,324,1,1
25,2016,9,Demaryius Thomas,0,0,Raiders,0,0,0,0,0,0,5.0,WR,0,0,56,5,0,0,0,0,1,Raiders,0,1,1,Broncos,266,20,10.0,DST,33,2.0,0,299,0,0
26,2016,10,Demaryius Thomas,0,0,Saints,0,0,0,0,0,0,14.0,WR,0,1,87,8,0,0,0,0,1,Saints,0,0,2,Broncos,234,25,11.0,DST,103,6.0,0,337,0,0
27,2016,12,Demaryius Thomas,0,0,Chiefs,0,0,0,0,0,0,6.0,WR,0,0,60,5,0,0,0,0,0,Chiefs,0,1,0,Broncos,340,27,16.0,DST,124,5.0,1,464,1,1
28,2016,13,Demaryius Thomas,0,0,Jaguars,0,0,0,0,0,0,6.0,WR,0,0,61,6,0,0,0,0,1,Jaguars,0,0,0,Broncos,102,20,6.0,DST,104,2.0,0,206,0,0
29,2016,14,Demaryius Thomas,0,0,Titans,0,0,0,0,0,0,12.0,WR,0,0,126,10,0,0,0,0,1,Titans,0,2,0,Broncos,330,10,14.0,DST,18,3.0,0,348,0,0
