,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5374,2013,1,Denarius Moore,0,0,Colts,0,0,0,0,0,0,10.0,WR,0,1,43,5,0,0,0,0,1
5569,2013,3,Denarius Moore,0,0,Broncos,0,0,0,0,0,0,18.0,WR,0,1,124,6,0,0,0,0,1
5716,2013,4,Denarius Moore,0,0,Redskins,0,0,0,0,0,0,6.0,WR,0,0,66,4,0,0,0,0,0
5796,2013,5,Denarius Moore,0,0,Chargers,0,0,0,0,0,0,14.0,WR,0,1,84,5,0,0,0,0,0
5891,2013,6,Denarius Moore,0,0,Chiefs,0,0,0,0,0,0,14.0,WR,0,1,82,5,0,0,0,0,1
6150,2013,8,Denarius Moore,0,0,Steelers,0,0,0,0,0,0,3.0,WR,0,0,32,2,0,0,0,0,0
6222,2013,9,Denarius Moore,0,0,Eagles,0,0,0,0,0,0,8.0,WR,0,0,82,5,0,0,0,0,0
6329,2013,10,Denarius Moore,0,0,Giants,0,0,0,0,0,0,4.0,WR,0,0,45,3,0,0,0,0,1
6417,2013,11,Denarius Moore,0,0,Texans,0,0,0,0,0,0,7.0,WR,0,1,11,2,0,0,0,0,1
6870,2013,15,Denarius Moore,0,0,Chiefs,0,0,0,0,0,0,4.0,WR,0,0,46,2,0,0,0,0,0
7015,2013,16,Denarius Moore,0,0,Chargers,0,0,0,0,0,0,1.0,WR,0,0,17,3,0,0,0,0,1
7078,2013,17,Denarius Moore,0,0,Broncos,0,0,0,0,0,0,6.0,WR,0,0,63,4,0,0,0,0,0
