,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
317,2011.0,3,Devin Aromashodu,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
345,2011.0,4,Devin Aromashodu,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
454,2011.0,5,Devin Aromashodu,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,4.5,WR,0.0,0.5,19.5,1.0,0.0,0.0,0.0,0.0,0.5
674,2011.0,7,Devin Aromashodu,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,WR,0.0,0.3333333333333333,40.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
759,2011.0,8,Devin Aromashodu,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,4.5,WR,0.0,0.25,33.25,1.25,0.0,0.0,0.0,0.0,0.25
1025,2011.0,11,Devin Aromashodu,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR,0.0,0.2,30.6,1.4,0.0,0.0,0.0,0.0,0.4
1164,2011.0,12,Devin Aromashodu,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR,0.0,0.16666666666666666,32.5,1.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
1201,2011.0,13,Devin Aromashodu,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,WR,0.0,0.14285714285714285,30.428571428571427,1.2857142857142858,0.0,0.0,0.0,0.0,0.42857142857142855
1341,2011.0,14,Devin Aromashodu,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,4.25,WR,0.0,0.125,37.875,1.875,0.0,0.0,0.0,0.0,0.375
1470,2011.0,15,Devin Aromashodu,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,4.222222222222222,WR,0.0,0.1111111111111111,38.888888888888886,2.111111111111111,0.0,0.0,0.0,0.0,0.4444444444444444
1577,2011.0,16,Devin Aromashodu,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR,0.0,0.1,37.9,2.1,0.0,0.0,0.0,0.0,0.4
1665,2011.0,17,Devin Aromashodu,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,3.909090909090909,WR,0.0,0.09090909090909091,37.72727272727273,2.090909090909091,0.0,0.0,0.0,0.0,0.45454545454545453
