,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
7252,2015,1,Devin Funchess,0,0,Jaguars,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,1
7354,2015,2,Devin Funchess,0,0,Texans,0,0,0,0,0,0,1.0,WR,0,0,15,1,0,0,0,0,0
7464,2015,3,Devin Funchess,0,0,Saints,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,0
7761,2015,6,Devin Funchess,0,0,Seahawks,0,0,0,0,0,0,2.0,WR,0,0,24,2,0,0,0,0,1
7860,2015,7,Devin Funchess,0,0,Eagles,0,0,0,0,0,0,2.0,WR,0,0,20,1,0,0,0,0,0
7985,2015,8,Devin Funchess,0,0,Colts,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,0
8004,2015,9,Devin Funchess,0,0,Packers,0,0,0,0,0,0,13.0,WR,0,1,71,3,0,0,0,0,0
8128,2015,10,Devin Funchess,0,0,Titans,0,0,0,0,0,0,4.0,WR,0,0,41,2,0,0,0,0,1
8194,2015,11,Devin Funchess,0,0,Redskins,0,0,0,0,0,0,12.0,WR,0,1,64,4,0,0,0,0,0
8372,2015,12,Devin Funchess,0,0,Cowboys,0,0,0,0,0,0,1.0,WR,0,0,19,2,0,0,0,0,1
8437,2015,13,Devin Funchess,0,0,Saints,0,0,0,0,0,0,7.0,WR,0,1,13,1,0,0,0,0,1
8592,2015,14,Devin Funchess,0,0,Falcons,0,0,0,0,0,0,2.0,WR,0,0,25,3,0,0,0,0,0
8665,2015,15,Devin Funchess,0,0,Giants,0,0,0,0,0,0,9.0,WR,0,1,30,2,0,0,0,0,1
8867,2015,17,Devin Funchess,0,1,Buccaneers,0,0,0,0,0,0,17.0,WR,0,1,120,7,0,0,0,0,0
