,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,2,Donte' Stallworth,0,0,Cardinals,0,0,0,0,0,0,1.0,WR,0,0,16,2,0,0,0,0,0,Cardinals,1,0,2,Redskins,283,22,8.0,DST,172,1.0,0,455,0,1
1,2011,6,Donte' Stallworth,0,0,Eagles,0,0,0,0,0,0,3.0,WR,0,0,30,3,0,0,0,0,0,Eagles,0,0,4,Redskins,245,13,17.0,DST,42,2.0,0,287,0,1
2,2011,8,Donte' Stallworth,0,0,Bills,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,2,1,Bills,1,0,2,Redskins,152,0,26.0,DST,26,10.0,0,178,0,0
3,2011,11,Donte' Stallworth,0,0,Cowboys,0,0,0,0,0,0,11.0,WR,0,1,51,4,0,1,0,-1,0,Cowboys,0,1,1,Redskins,279,24,8.0,DST,60,3.0,0,339,0,1
4,2011,13,Donte' Stallworth,0,0,Jets,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,0,Jets,0,2,1,Redskins,204,19,12.0,DST,100,2.0,0,304,0,1
5,2011,14,Donte' Stallworth,0,0,Patriots,0,0,0,0,0,0,9.0,WR,0,0,96,4,0,0,0,0,0,Patriots,0,1,1,Redskins,293,27,13.0,DST,170,2.0,0,463,1,1
6,2011,15,Donte' Stallworth,0,0,Giants,0,0,0,0,0,0,3.0,WR,0,0,35,2,0,0,0,0,1,Giants,0,0,2,Redskins,177,23,6.0,DST,123,1.0,0,300,0,0
7,2011,17,Donte' Stallworth,0,0,Eagles,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,1,Eagles,1,0,1,Redskins,247,10,12.0,DST,130,1.0,0,377,0,0
8,2010,10,Donte' Stallworth,0,0,Falcons,0,0,0,0,0,0,3.0,WR,0,0,0,0,0,2,0,34,1,Falcons,0,1,1,Ravens,204,21,7.0,DST,116,2.0,0,320,0,0
9,2010,11,Donte' Stallworth,0,0,Panthers,0,0,0,0,0,0,1.0,WR,0,0,15,1,0,1,0,7,1,Panthers,0,2,0,Ravens,278,37,7.0,DST,100,3.0,0,378,0,0
10,2010,13,Donte' Stallworth,0,0,Steelers,0,0,0,0,0,0,6.0,WR,0,0,67,1,0,1,0,-11,0,Steelers,0,1,0,Ravens,226,10,13.0,DST,43,4.0,0,269,0,1
11,2010,17,Donte' Stallworth,0,1,Bengals,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,15,0,Bengals,0,1,1,Ravens,101,13,15.0,DST,98,4.0,0,199,0,1
12,2012,14,Donte' Stallworth,0,0,Texans,0,0,0,0,0,0,12.0,WR,0,1,63,1,0,0,0,0,0,Texans,0,0,1,Patriots,289,42,3.0,DST,130,1.0,0,419,0,1
