,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
11,2011,1,Doug Baldwin,0,0,49ers,0,0,0,0,0,0,14.0,WR,0,1,83,4,0,0,0,0,1
216,2011,2,Doug Baldwin,0,0,Steelers,0,0,0,0,0,0,0.0,WR,0,0,4,1,0,0,0,0,1
287,2011,3,Doug Baldwin,0,0,Cardinals,0,0,0,0,0,0,2.0,WR,0,0,23,2,0,1,0,-2,0
348,2011,4,Doug Baldwin,0,0,Falcons,0,0,0,0,0,0,8.0,WR,0,0,84,5,0,0,0,0,0
430,2011,5,Doug Baldwin,0,0,Giants,0,0,0,0,0,0,19.0,WR,0,1,136,8,0,0,0,0,1
718,2011,8,Doug Baldwin,0,0,Bengals,0,0,0,0,0,0,7.0,WR,0,0,73,5,0,0,0,0,0
833,2011,9,Doug Baldwin,0,0,Cowboys,0,0,0,0,0,0,3.0,WR,0,0,31,3,0,0,0,0,1
910,2011,10,Doug Baldwin,0,0,Ravens,0,0,0,0,0,0,5.0,WR,0,0,50,1,0,0,0,0,0
1013,2011,11,Doug Baldwin,0,0,Rams,0,0,0,0,0,0,6.0,WR,0,0,60,3,0,0,0,0,1
1111,2011,12,Doug Baldwin,0,0,Redskins,0,0,0,0,0,0,6.0,WR,0,0,60,5,0,0,0,0,0
1253,2011,13,Doug Baldwin,0,0,Eagles,0,0,0,0,0,0,2.0,WR,0,0,21,1,0,0,0,0,0
1293,2011,14,Doug Baldwin,0,0,Rams,0,0,0,0,0,0,15.0,WR,0,1,93,7,0,0,0,0,0
1487,2011,15,Doug Baldwin,0,0,Bears,0,0,0,0,0,0,1.0,WR,0,0,13,1,0,0,0,0,1
1544,2011,16,Doug Baldwin,0,0,49ers,0,0,0,0,0,0,7.0,WR,0,1,17,2,0,0,0,0,0
1672,2011,17,Doug Baldwin,0,0,Cardinals,0,0,0,0,0,0,4.0,WR,0,0,40,3,0,0,0,0,1
3429,2016,1,Doug Baldwin,0,0,Dolphins,0,0,0,0,0,0,15.0,WR,0,1,92,9,0,0,0,0,0
3618,2016,2,Doug Baldwin,0,0,LA,0,0,0,0,0,0,2.0,WR,0,0,20,3,0,0,0,0,1
3661,2016,3,Doug Baldwin,0,0,49ers,0,0,0,0,0,0,22.0,WR,0,1,164,8,0,1,0,-4,0
3822,2016,4,Doug Baldwin,0,0,Jets,0,0,0,0,0,0,5.0,WR,0,0,54,4,0,0,0,0,1
4055,2016,6,Doug Baldwin,0,0,Falcons,0,0,0,0,0,0,3.0,WR,0,0,31,4,0,0,0,0,0
4133,2016,7,Doug Baldwin,0,0,Cardinals,0,0,0,0,0,0,6.0,WR,0,0,69,6,0,0,0,0,1
4261,2016,8,Doug Baldwin,0,0,Saints,0,0,0,0,0,0,5.0,WR,0,0,51,4,0,0,0,0,1
4338,2016,9,Doug Baldwin,0,0,Bills,0,0,0,0,0,0,8.0,WR,0,0,89,6,0,0,0,0,0
4408,2016,10,Doug Baldwin,0,0,Patriots,0,0,0,0,0,0,23.0,WR,0,3,59,6,0,0,0,0,1
4513,2016,11,Doug Baldwin,0,0,Eagles,0,1,1,0,1,15,16.0,WR,0,0,104,4,0,0,0,0,0
4693,2016,12,Doug Baldwin,0,0,Buccaneers,0,0,0,0,0,0,3.0,WR,0,0,34,7,0,0,0,0,1
4786,2016,13,Doug Baldwin,0,0,Panthers,0,0,0,0,0,0,6.0,WR,0,0,65,7,0,0,0,0,0
4913,2016,14,Doug Baldwin,0,0,Packers,0,0,0,0,0,0,4.0,WR,0,0,46,6,0,0,0,0,1
5004,2016,15,Doug Baldwin,0,0,LA,0,0,0,0,0,0,9.0,WR,0,1,35,5,0,0,0,0,0
5098,2016,16,Doug Baldwin,0,0,Cardinals,0,0,0,0,0,0,23.0,WR,0,1,171,13,0,2,0,6,0
5287,2016,17,Doug Baldwin,0,0,49ers,0,0,0,0,0,0,4.0,WR,0,0,44,2,0,0,0,0,1
5382,2013,1,Doug Baldwin,0,0,Panthers,0,0,0,0,0,0,9.0,WR,0,0,91,7,0,1,0,3,1
5505,2013,2,Doug Baldwin,0,0,49ers,0,0,0,0,0,0,5.0,WR,0,0,51,1,0,0,0,0,0
5595,2013,3,Doug Baldwin,0,0,Jaguars,0,0,0,0,0,0,9.0,WR,0,1,35,1,0,0,0,0,0
5743,2013,4,Doug Baldwin,0,0,Texans,0,0,0,0,0,0,3.0,WR,0,0,39,3,0,0,0,0,1
5817,2013,5,Doug Baldwin,0,0,Colts,0,0,0,0,0,0,8.0,WR,0,0,80,5,0,0,0,0,1
5934,2013,6,Doug Baldwin,0,0,Titans,0,0,0,0,0,0,4.0,WR,0,0,48,4,0,0,0,0,0
6092,2013,7,Doug Baldwin,0,0,Cardinals,0,0,0,0,0,0,1.0,WR,0,0,16,1,0,0,0,0,1
6176,2013,8,Doug Baldwin,0,0,Rams,0,0,0,0,0,0,1.0,WR,0,0,12,1,0,0,0,0,1
6209,2013,9,Doug Baldwin,0,0,Buccaneers,0,0,0,0,0,0,13.0,WR,0,1,75,6,0,0,0,0,0
6315,2013,10,Doug Baldwin,0,0,Falcons,0,0,0,0,0,0,7.0,WR,0,0,76,5,0,0,0,0,1
6397,2013,11,Doug Baldwin,0,0,Min,0,0,0,0,0,0,12.0,WR,0,1,63,2,0,0,0,0,0
6599,2013,13,Doug Baldwin,0,0,Saints,0,0,0,0,0,0,13.0,WR,0,1,77,4,0,0,0,0,0
6765,2013,14,Doug Baldwin,0,0,49ers,0,0,0,0,0,0,3.0,WR,0,0,36,3,0,0,0,0,1
6824,2013,15,Doug Baldwin,0,0,Giants,0,0,0,0,0,0,13.0,WR,0,1,71,6,0,1,0,3,1
7037,2013,16,Doug Baldwin,0,0,Cardinals,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,0
7208,2015,1,Doug Baldwin,0,0,Rams,0,0,0,0,0,0,3.0,WR,0,0,35,7,0,0,0,0,1
7276,2015,2,Doug Baldwin,0,0,Packers,0,0,0,0,0,0,15.0,WR,0,1,92,7,0,0,0,0,1
7441,2015,3,Doug Baldwin,0,0,Bears,0,0,0,0,0,0,3.0,WR,0,0,35,3,0,0,0,0,0
