,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
90,2011.0,1,Dwayne Bowe,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
127,2011.0,2,Dwayne Bowe,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
228,2011.0,3,Dwayne Bowe,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,59.0,3.5,0.0,0.5,0.0,6.0,0.5
327,2011.0,4,Dwayne Bowe,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,8.0,WR,0.0,0.3333333333333333,61.666666666666664,3.6666666666666665,0.0,0.3333333333333333,0.0,4.0,0.6666666666666666
426,2011.0,5,Dwayne Bowe,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,0.5,73.0,4.0,0.0,0.25,0.0,3.0,0.5
624,2011.0,7,Dwayne Bowe,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,12.8,WR,0.0,0.8,84.0,4.6,0.0,0.2,0.0,2.4,0.6
725,2011.0,8,Dwayne Bowe,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,11.833333333333334,WR,0.0,0.6666666666666666,82.66666666666667,4.833333333333333,0.0,0.16666666666666666,0.0,2.0,0.6666666666666666
805,2011.0,9,Dwayne Bowe,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,11.0,WR,0.0,0.5714285714285714,79.71428571428571,4.714285714285714,0.0,0.14285714285714285,0.0,1.7142857142857142,0.5714285714285714
957,2011.0,10,Dwayne Bowe,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,10.625,WR,0.0,0.5,80.75,4.875,0.0,0.125,0.0,1.5,0.5
999,2011.0,11,Dwayne Bowe,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,9.555555555555555,WR,0.0,0.4444444444444444,73.66666666666667,4.555555555555555,0.0,0.1111111111111111,0.0,1.3333333333333333,0.4444444444444444
1109,2011.0,12,Dwayne Bowe,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,9.4,WR,0.0,0.4,75.0,4.8,0.0,0.1,0.0,1.2,0.5
1230,2011.0,13,Dwayne Bowe,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,WR,0.0,0.36363636363636365,74.45454545454545,5.0,0.0,0.09090909090909091,0.0,1.0909090909090908,0.45454545454545453
1328,2011.0,14,Dwayne Bowe,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,WR,0.0,0.3333333333333333,72.33333333333333,4.916666666666667,0.0,0.08333333333333333,0.0,1.0,0.5
1449,2011.0,15,Dwayne Bowe,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,8.461538461538462,WR,0.0,0.3076923076923077,72.07692307692308,5.0,0.0,0.07692307692307693,0.0,0.9230769230769231,0.5384615384615384
1521,2011.0,16,Dwayne Bowe,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,8.142857142857142,WR,0.0,0.2857142857142857,70.42857142857143,4.928571428571429,0.0,0.07142857142857142,0.0,0.8571428571428571,0.5
1651,2011.0,17,Dwayne Bowe,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,8.533333333333333,WR,0.0,0.3333333333333333,71.06666666666666,5.0,0.0,0.06666666666666667,0.0,0.8,0.4666666666666667
