,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
9025,2012,1,Emmanuel Sanders,0,0,Broncos,0,0,0,0,0,0,5.0,WR,0,0,55,4,0,0,0,0,1
9143,2012,2,Emmanuel Sanders,0,0,Jets,0,0,0,0,0,0,3.0,WR,0,0,33,3,0,0,0,0,0
9262,2012,3,Emmanuel Sanders,0,0,Raiders,0,0,0,0,0,0,3.0,WR,0,0,33,3,0,0,0,0,1
9487,2012,5,Emmanuel Sanders,0,0,Eagles,0,0,0,0,0,0,2.0,WR,0,0,22,3,0,0,0,0,0
9573,2012,6,Emmanuel Sanders,0,0,Titans,0,0,0,0,0,0,4.0,WR,0,0,43,4,0,0,0,0,1
9670,2012,7,Emmanuel Sanders,0,0,Bengals,0,0,0,0,0,0,4.0,WR,0,0,40,2,0,0,0,0,1
9756,2012,8,Emmanuel Sanders,0,0,Redskins,0,0,0,0,0,0,5.0,WR,0,0,56,3,0,0,0,0,0
9841,2012,9,Emmanuel Sanders,0,0,Giants,0,0,0,0,0,0,8.0,WR,0,1,20,2,0,0,0,0,1
9961,2012,10,Emmanuel Sanders,0,0,Chiefs,0,0,0,0,0,0,3.0,WR,0,0,30,2,0,1,0,4,0
10030,2012,11,Emmanuel Sanders,0,0,Ravens,0,0,0,0,0,0,8.0,WR,0,0,82,3,0,0,0,0,0
10151,2012,12,Emmanuel Sanders,0,1,Browns,0,0,0,0,0,0,6.0,WR,0,0,75,5,0,0,0,0,1
10260,2012,13,Emmanuel Sanders,0,1,Ravens,0,0,0,0,0,0,5.0,WR,0,0,60,5,0,0,0,0,1
10383,2012,14,Emmanuel Sanders,0,0,Chargers,0,0,0,0,0,0,3.0,WR,0,0,36,2,0,0,0,0,0
10630,2012,16,Emmanuel Sanders,0,0,Bengals,0,0,0,0,0,0,1.0,WR,0,0,13,1,0,0,0,0,0
10732,2012,17,Emmanuel Sanders,0,0,Browns,0,0,0,0,0,0,2.0,WR,0,0,28,2,0,0,0,0,0
