,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
10792,2014,1,Hakeem Nicks,0,0,Broncos,0,0,0,0,0,0,9.0,WR,0,1,36,5,0,0,0,0,1
10979,2014,2,Hakeem Nicks,0,0,Eagles,0,0,0,0,0,0,0.0,WR,0,0,-4,1,0,0,0,0,0
11009,2014,3,Hakeem Nicks,0,0,Jaguars,0,0,0,0,0,0,11.0,WR,0,1,50,4,0,0,0,0,1
11194,2014,4,Hakeem Nicks,0,0,Titans,0,0,0,0,0,0,1.0,WR,0,0,12,2,0,0,0,0,0
11280,2014,5,Hakeem Nicks,0,0,Ravens,0,0,0,0,0,0,2.0,WR,0,0,29,3,0,0,0,0,0
11421,2014,6,Hakeem Nicks,0,0,Texans,0,0,0,0,0,0,1.0,WR,0,0,18,2,0,0,0,0,1
11629,2014,8,Hakeem Nicks,0,0,Steelers,0,0,0,0,0,0,2.0,WR,0,0,27,1,0,0,0,0,1
11709,2014,9,Hakeem Nicks,0,0,Giants,0,0,0,0,0,0,4.0,WR,0,0,44,3,0,0,0,0,1
11894,2014,11,Hakeem Nicks,0,0,Patriots,0,0,0,0,0,0,7.0,WR,0,1,15,2,0,0,0,0,0
12041,2014,12,Hakeem Nicks,0,0,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,16,1,0,0,0,0,0
12302,2014,15,Hakeem Nicks,0,0,Texans,0,0,0,0,0,0,10.0,WR,0,1,44,2,0,0,0,0,0
12427,2014,16,Hakeem Nicks,0,0,Cowboys,0,0,0,0,0,0,7.0,WR,0,0,72,9,0,0,0,0,1
12554,2014,17,Hakeem Nicks,0,0,Titans,0,0,0,0,0,0,4.0,WR,0,0,46,3,0,0,0,0,1
