,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2010.0,1,Jason Avant,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR,0.0,0.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,Packers,0.0,1.0,0.0,Eagles,171.0,20.0,12.0,DST,149.0,6.0,0.0,320.0,0.0,1.0
1,2010.0,2,Jason Avant,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR,0.0,0.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,Lions,0.0,3.0,1.0,Eagles,362.0,19.0,16.0,DST,101.0,4.0,0.0,463.0,0.0,1.0
2,2010.0,4,Jason Avant,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,3.5,WR,0.0,0.0,37.0,3.5,0.0,0.0,0.0,0.0,0.5,Redskins,0.3333333333333333,0.6666666666666666,0.6666666666666666,Eagles,325.6666666666667,22.33333333333333,10.0,DST,98.0,2.333333333333333,0.0,423.66666666666674,0.3333333333333333,0.3333333333333333
3,2010.0,5,Jason Avant,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333333,WR,0.0,0.0,35.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.3333333333333333,49ers,0.25,0.0,1.0,Eagles,227.75,25.75,6.75,DST,108.0,1.5,0.0,335.75,0.25,0.75
4,2010.0,6,Jason Avant,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,2.75,WR,0.0,0.0,29.5,3.25,0.0,0.0,0.0,0.0,0.5,Falcons,0.0,0.6,2.0,Eagles,223.4,14.0,13.2,DST,86.6,2.2,0.0,310.0,0.2,0.6
5,2010.0,7,Jason Avant,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,3.4,WR,0.0,0.0,36.0,3.6,0.0,0.0,0.0,0.0,0.4,Titans,0.0,0.6666666666666666,1.6666666666666667,Eagles,231.0,16.333333333333332,15.0,DST,97.5,4.0,0.16666666666666666,328.5,0.16666666666666666,0.5
6,2010.0,9,Jason Avant,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,WR,0.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0,0.5,Colts,0.0,0.7142857142857143,0.8571428571428571,Eagles,203.28571428571428,20.285714285714285,10.142857142857142,DST,133.14285714285714,2.0,0.0,336.42857142857144,0.2857142857142857,0.5714285714285714
7,2010.0,10,Jason Avant,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,3.8571428571428568,WR,0.0,0.0,40.142857142857146,3.7142857142857135,0.0,0.0,0.0,0.0,0.42857142857142855,Redskins,0.25,1.25,1.125,Eagles,280.875,21.25,13.0,DST,112.375,2.25,0.0,393.25,0.375,0.5
8,2010.0,11,Jason Avant,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR,0.0,0.125,44.625,3.875,0.0,0.0,0.0,0.0,0.5,Giants,0.1111111111111111,1.1111111111111112,1.1111111111111112,Eagles,187.22222222222226,21.444444444444443,10.888888888888891,DST,83.0,2.6666666666666665,0.0,270.22222222222223,0.0,0.4444444444444444
9,2010.0,12,Jason Avant,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR,0.1111111111111111,0.1111111111111111,44.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.4444444444444444,Bears,0.2,1.0,1.5,Eagles,212.4,14.6,14.3,DST,78.0,1.9,0.0,290.4,0.3,0.5
10,2010.0,13,Jason Avant,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,5.3,WR,0.1,0.1,47.9,4.1,0.0,0.0,0.0,0.0,0.5,Texans,0.09090909090909093,0.3636363636363637,0.8181818181818182,Eagles,286.1818181818182,26.09090909090909,5.454545454545454,DST,100.1818181818182,1.6363636363636365,0.0,386.3636363636364,0.0,0.4545454545454545
11,2010.0,14,Jason Avant,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,4.818181818181818,WR,0.09090909090909093,0.09090909090909093,43.90909090909091,3.8181818181818175,0.0,0.0,0.0,0.0,0.4545454545454545,Cowboys,0.08333333333333333,0.6666666666666666,1.0833333333333333,Eagles,254.08333333333331,28.0,10.5,DST,107.83333333333331,1.8333333333333333,0.0,361.91666666666674,0.5,0.5
12,2010.0,15,Jason Avant,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,4.5,WR,0.08333333333333333,0.08333333333333333,41.75,3.75,0.0,0.0,0.0,0.0,0.5,Giants,0.15384615384615385,1.3076923076923077,1.0769230769230769,Eagles,185.9230769230769,19.23076923076923,12.230769230769232,DST,95.15384615384615,3.0,0.0,281.0769230769231,0.0,0.4615384615384616
13,2010.0,17,Jason Avant,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,4.142857142857143,WR,0.07142857142857142,0.07142857142857142,39.42857142857143,3.571428571428572,0.0,0.0,0.0,0.0,0.5,Cowboys,0.06666666666666668,0.6,1.1333333333333333,Eagles,251.4,28.2,9.666666666666666,DST,107.53333333333332,2.0,0.0,358.9333333333333,0.4,0.4666666666666667
