,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
2995,2010,1,Jay Cutler,0,1,Lions,0,35,23,1,2,372,25.0,QB,0,0,0,0,0,5,0,22,0
3031,2010,2,Jay Cutler,0,0,Cowboys,0,29,21,0,3,277,29.0,QB,0,0,0,0,0,5,0,3,1
3085,2010,3,Jay Cutler,0,0,Packers,0,27,16,1,1,221,15.0,QB,0,0,0,0,0,3,0,37,0
3135,2010,4,Jay Cutler,0,1,Giants,0,11,8,1,0,42,-2.0,QB,0,0,0,0,0,0,0,0,1
3194,2010,6,Jay Cutler,0,0,Seahawks,0,39,17,0,0,290,12.0,QB,0,0,0,0,0,2,0,19,0
3231,2010,7,Jay Cutler,0,1,Redskins,0,40,26,4,1,281,8.0,QB,0,0,0,0,0,1,0,0,0
3277,2010,9,Jay Cutler,0,1,Bills,1,30,17,0,2,188,23.0,QB,0,0,0,0,0,5,0,39,1
3314,2010,10,Jay Cutler,0,0,Min,0,35,22,2,3,237,25.0,QB,0,0,0,0,0,4,0,24,0
3368,2010,11,Jay Cutler,0,0,Dolphins,0,25,16,1,0,156,6.0,QB,0,0,0,0,0,4,0,28,1
3377,2010,12,Jay Cutler,0,0,Eagles,0,21,14,0,4,247,34.0,QB,0,0,0,0,0,7,0,17,0
3422,2010,13,Jay Cutler,0,1,Lions,0,26,21,0,1,234,15.0,QB,0,0,0,0,0,5,0,12,1
3470,2010,14,Jay Cutler,0,1,Patriots,0,26,12,2,0,152,3.0,QB,0,0,0,0,0,2,0,21,0
3491,2010,15,Jay Cutler,0,0,Min,0,24,14,1,3,194,23.0,QB,0,0,0,0,0,1,0,-1,1
3522,2010,16,Jay Cutler,0,0,Jets,0,25,13,1,3,215,30.0,QB,0,0,0,0,0,4,1,3,0
3588,2010,17,Jay Cutler,0,0,Packers,0,39,21,2,0,168,2.0,QB,0,0,0,0,0,2,0,8,1
