,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2013,3,Jeremy Ross,0,1,Bengals,0,0,0,0,0,0,-1.0,WR,0,0,8,1,0,0,0,0,1,Bengals,0,2,2,Packers,217,30,18.0,DST,182,4.0,0,399,1,0
1,2013,8,Jeremy Ross,0,0,Cowboys,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,0,0,0,0,Cowboys,0,2,2,Lions,480,31,9.0,DST,143,1.0,0,623,0,1
2,2013,10,Jeremy Ross,0,0,Bears,0,0,0,0,0,0,2.0,WR,0,0,28,2,0,0,0,0,1,Bears,0,0,1,Lions,219,21,3.0,DST,145,0.0,0,364,0,0
3,2013,11,Jeremy Ross,0,0,Steelers,0,0,0,0,0,0,1.0,WR,0,0,19,1,0,0,0,0,1,Steelers,0,2,1,Lions,344,27,9.0,DST,107,2.0,0,451,0,0
4,2013,13,Jeremy Ross,0,0,Packers,0,0,0,0,0,0,8.0,WR,0,1,5,1,0,1,0,24,0,Packers,0,2,2,Lions,320,40,15.0,DST,241,1.0,0,561,1,1
5,2013,16,Jeremy Ross,0,0,Giants,0,0,0,0,0,0,1.0,WR,0,0,0,0,0,1,0,16,0,Giants,0,1,2,Lions,207,20,18.0,DST,148,2.0,0,355,1,1
6,2015,5,Jeremy Ross,0,0,Browns,0,0,0,0,0,0,2.0,WR,0,0,24,2,0,0,0,0,0,Browns,0,0,0,Ravens,196,30,1.0,DST,181,1.0,0,377,0,1
7,2015,6,Jeremy Ross,0,0,49ers,0,0,0,0,0,0,3.0,WR,0,0,34,3,0,1,0,2,1,49ers,0,0,2,Ravens,343,20,8.0,DST,77,0.0,0,420,0,0
8,2015,7,Jeremy Ross,0,1,Cardinals,0,0,0,0,0,0,-1.0,WR,0,0,9,1,0,0,0,0,1,Cardinals,0,1,1,Ravens,221,18,11.0,DST,55,3.0,0,276,0,0
9,2015,8,Jeremy Ross,0,0,Chargers,0,0,0,0,0,0,2.0,WR,0,0,21,3,0,0,0,0,0,Chargers,0,0,0,Ravens,293,29,3.0,DST,72,3.0,0,365,0,1
10,2015,10,Jeremy Ross,0,1,Jaguars,0,0,0,0,0,0,-1.0,WR,0,0,0,0,0,0,0,0,0,Jaguars,0,2,2,Ravens,308,20,13.0,DST,89,1.0,0,397,0,1
11,2015,12,Jeremy Ross,0,1,Titans,0,0,0,0,0,0,-1.0,WR,0,0,0,0,0,0,0,0,1,Titans,0,2,0,Raiders,323,24,6.0,DST,84,1.0,0,407,0,0
12,2014,2,Jeremy Ross,0,1,Panthers,0,0,0,0,0,0,1.0,WR,0,0,23,2,0,0,0,0,1,Panthers,0,2,1,Lions,253,7,17.0,DST,70,4.0,0,323,0,0
13,2014,3,Jeremy Ross,0,0,Packers,0,0,0,0,0,0,2.0,WR,0,0,20,3,0,1,0,-5,0,Packers,0,1,2,Lions,238,19,12.0,DST,115,2.0,0,353,0,1
14,2014,4,Jeremy Ross,0,0,Jets,0,0,0,0,0,0,12.0,WR,0,1,65,2,0,0,0,0,1,Jets,0,0,0,Lions,272,24,5.0,DST,88,4.0,0,360,0,0
15,2014,5,Jeremy Ross,0,0,Bills,0,0,0,0,0,0,1.0,WR,0,0,13,1,0,0,0,0,0,Bills,0,1,1,Lions,204,14,14.0,DST,69,6.0,0,273,0,1
16,2014,7,Jeremy Ross,0,0,Saints,0,0,0,0,0,0,3.0,WR,0,0,32,3,0,0,0,0,0,Saints,0,0,2,Lions,285,24,8.0,DST,59,3.0,0,344,0,1
17,2014,8,Jeremy Ross,0,0,Falcons,0,0,0,0,0,0,3.0,WR,0,0,31,3,0,0,0,0,1,Falcons,0,0,1,Lions,325,22,3.0,DST,60,0.0,0,385,0,0
18,2014,10,Jeremy Ross,0,0,Dolphins,0,0,0,0,0,0,0.0,WR,0,0,5,1,0,0,0,0,0,Dolphins,1,0,1,Lions,288,20,11.0,DST,63,3.0,0,351,0,1
19,2014,11,Jeremy Ross,0,0,Cardinals,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,0,0,0,1,Cardinals,0,0,1,Lions,164,6,16.0,DST,98,4.0,0,262,0,0
20,2014,12,Jeremy Ross,0,0,Patriots,0,0,0,0,0,0,3.0,WR,0,0,35,3,0,0,0,0,1,Patriots,0,0,1,Lions,244,9,11.0,DST,91,2.0,0,335,0,0
21,2014,13,Jeremy Ross,0,0,Bears,0,0,0,0,0,0,3.0,WR,0,0,31,1,0,0,0,0,0,Bears,0,1,0,Lions,383,34,4.0,DST,91,2.0,0,474,0,1
22,2014,14,Jeremy Ross,0,0,Buccaneers,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,4,0,Buccaneers,0,1,0,Lions,294,34,6.0,DST,113,4.0,0,407,0,1
23,2014,16,Jeremy Ross,0,1,Bears,0,0,0,0,0,0,0.0,WR,0,0,11,1,0,0,0,0,1,Bears,1,1,2,Lions,229,20,16.0,DST,138,4.0,0,367,0,0
24,2014,17,Jeremy Ross,0,0,Packers,0,0,0,0,0,0,3.0,WR,0,0,33,2,0,0,0,0,1,Packers,0,1,0,Lions,202,20,16.0,DST,111,2.0,1,313,1,0
