,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5364,2013,1,Jerome Simpson,0,0,Lions,0,0,0,0,0,0,14.0,WR,0,0,140,7,0,0,0,0,1
5510,2013,2,Jerome Simpson,0,0,Bears,0,0,0,0,0,0,4.0,WR,0,0,49,2,0,0,0,0,1
5642,2013,3,Jerome Simpson,0,0,Browns,0,0,0,0,0,0,2.0,WR,0,0,29,3,0,0,0,0,0
5692,2013,4,Jerome Simpson,0,0,Steelers,0,0,0,0,0,0,12.0,WR,0,0,124,7,0,0,0,0,0
5936,2013,6,Jerome Simpson,0,0,Panthers,0,0,0,0,0,0,3.0,WR,0,0,30,4,0,0,0,0,0
6052,2013,7,Jerome Simpson,0,0,Giants,0,0,0,0,0,0,3.0,WR,0,0,32,3,0,0,0,0,1
6165,2013,8,Jerome Simpson,0,0,Packers,0,0,0,0,0,0,1.0,WR,0,0,18,1,0,0,0,0,0
6254,2013,9,Jerome Simpson,0,0,Cowboys,0,0,0,0,0,0,2.0,WR,0,0,24,2,0,0,0,0,1
6326,2013,10,Jerome Simpson,0,0,Redskins,0,0,0,0,0,0,4.0,WR,0,0,45,4,0,0,0,0,0
6474,2013,11,Jerome Simpson,0,0,Seahawks,0,0,0,0,0,0,0.0,WR,0,0,1,1,0,0,0,0,1
6528,2013,12,Jerome Simpson,0,0,Packers,0,0,0,0,0,0,5.0,WR,0,0,54,2,0,0,0,0,1
6618,2013,13,Jerome Simpson,0,0,Bears,0,0,0,0,0,0,7.0,WR,0,0,76,3,0,0,0,0,0
6728,2013,14,Jerome Simpson,0,0,Ravens,0,0,0,0,0,0,10.0,WR,0,1,48,4,0,0,0,0,1
6899,2013,15,Jerome Simpson,0,0,Eagles,0,0,0,0,0,0,1.0,WR,0,0,19,1,0,0,0,0,0
7027,2013,16,Jerome Simpson,0,0,Bengals,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,1
7114,2013,17,Jerome Simpson,0,0,Lions,0,0,0,0,0,0,2.0,WR,0,0,29,3,0,0,0,0,0
