,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
7159,2015,1,Jordan Matthews,0,0,Falcons,0,0,0,0,0,0,10.0,WR,0,0,102,10,0,0,0,0,1
7278,2015,2,Jordan Matthews,0,0,Cowboys,0,0,0,0,0,0,14.0,WR,0,1,80,6,0,0,0,0,0
7431,2015,3,Jordan Matthews,0,0,Jets,0,0,0,0,0,0,4.0,WR,0,0,49,6,0,0,0,0,1
7534,2015,4,Jordan Matthews,0,0,Redskins,0,0,0,0,0,0,5.0,WR,0,0,50,3,0,0,0,0,1
7638,2015,5,Jordan Matthews,0,0,Saints,0,0,0,0,0,0,4.0,WR,0,0,44,5,0,0,0,0,0
7741,2015,6,Jordan Matthews,0,1,Giants,0,0,0,0,0,0,4.0,WR,0,0,59,6,0,0,0,0,0
7869,2015,7,Jordan Matthews,0,0,Panthers,0,0,0,0,0,0,1.0,WR,0,0,14,3,0,0,0,0,1
7995,2015,9,Jordan Matthews,0,0,Cowboys,0,0,0,0,0,0,19.0,WR,0,1,133,9,0,0,0,0,1
8140,2015,10,Jordan Matthews,0,0,Dolphins,0,0,0,0,0,0,2.0,WR,0,0,21,3,0,0,0,0,0
8261,2015,11,Jordan Matthews,0,0,Buccaneers,0,0,0,0,0,0,1.0,WR,0,0,13,4,0,0,0,0,0
8299,2015,12,Jordan Matthews,0,0,Lions,0,0,0,0,0,0,12.0,WR,0,1,60,3,0,0,0,0,1
8427,2015,13,Jordan Matthews,0,0,Patriots,0,0,0,0,0,0,9.0,WR,0,1,36,3,0,0,0,0,1
8602,2015,14,Jordan Matthews,0,0,Bills,0,0,0,0,0,0,1.0,WR,0,0,19,3,0,0,0,0,0
8636,2015,15,Jordan Matthews,0,0,Cardinals,0,0,0,0,0,0,21.0,WR,0,1,159,8,0,0,0,0,0
8754,2015,16,Jordan Matthews,0,0,Redskins,0,0,0,0,0,0,16.0,WR,0,1,104,6,0,0,0,0,0
8866,2015,17,Jordan Matthews,0,0,Giants,0,0,0,0,0,0,17.0,WR,0,2,54,7,0,0,0,0,1
