,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
10801,2014.0,1,Jordy Nelson,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,8.0,WR,0.0,0.0,83.0,9.0,0.0,0.0,0.0,0.0,1.0
10876,2014.0,2,Jordy Nelson,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,8.0,WR,0.0,0.0,83.0,9.0,0.0,0.0,0.0,0.0,1.0
11046,2014.0,3,Jordy Nelson,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,17.0,WR,0.0,0.5,146.0,9.0,0.0,0.0,0.0,0.0,0.5
11120,2014.0,4,Jordy Nelson,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,13.0,WR,0.0,0.3333333333333333,117.0,7.666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666
11229,2014.0,5,Jordy Nelson,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,15.25,WR,0.0,0.75,114.75,8.25,0.0,0.0,0.0,0.0,0.75
11341,2014.0,6,Jordy Nelson,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,14.6,WR,0.0,0.8,105.0,6.8,0.0,0.0,0.0,0.0,0.6
11458,2014.0,7,Jordy Nelson,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,14.833333333333334,WR,0.0,0.8333333333333334,105.33333333333333,7.166666666666667,0.0,0.0,0.0,0.0,0.6666666666666666
11630,2014.0,8,Jordy Nelson,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,14.714285714285714,WR,0.0,0.8571428571428571,101.71428571428571,6.714285714285714,0.0,0.0,0.0,0.0,0.5714285714285714
11767,2014.0,10,Jordy Nelson,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,13.125,WR,0.0,0.75,92.125,6.25,0.0,0.0,0.0,0.0,0.625
11870,2014.0,11,Jordy Nelson,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,14.666666666666666,WR,0.0,0.8888888888888888,98.77777777777777,6.222222222222222,0.0,0.0,0.0,0.0,0.5555555555555556
11996,2014.0,12,Jordy Nelson,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,14.8,WR,0.0,0.9,99.8,6.0,0.0,0.0,0.0,0.0,0.5
12079,2014.0,13,Jordy Nelson,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,14.0,WR,0.0,0.8181818181818182,96.9090909090909,6.181818181818182,0.0,0.0,0.0,0.0,0.5454545454545454
12177,2014.0,14,Jordy Nelson,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,13.75,WR,0.0,0.8333333333333334,93.25,5.833333333333333,0.0,0.0,0.0,0.0,0.5
12331,2014.0,15,Jordy Nelson,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,14.692307692307692,WR,0.0,0.9230769230769231,97.3076923076923,6.0,0.0,0.0,0.0,0.0,0.46153846153846156
12401,2014.0,16,Jordy Nelson,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,14.0,WR,0.0,0.8571428571428571,94.28571428571429,5.928571428571429,0.0,0.0,0.0,0.0,0.5
12532,2014.0,17,Jordy Nelson,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,14.2,WR,0.0,0.8666666666666667,95.53333333333333,6.133333333333334,0.0,0.0,0.0,0.0,0.5333333333333333
