,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
78,2011,1,Kevin Walter,0,0,Colts,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,0
239,2011,3,Kevin Walter,0,0,Saints,0,0,0,0,0,0,9.0,WR,0,1,35,3,0,0,0,0,1
437,2011,5,Kevin Walter,0,0,Raiders,0,0,0,0,0,0,14.0,WR,0,1,81,5,0,0,0,0,0
555,2011,6,Kevin Walter,0,0,Ravens,0,0,0,0,0,0,5.0,WR,0,0,52,6,0,0,0,0,1
638,2011,7,Kevin Walter,0,0,Titans,0,0,0,0,0,0,3.0,WR,0,0,35,3,0,0,0,0,1
714,2011,8,Kevin Walter,0,0,Jaguars,0,0,0,0,0,0,7.0,WR,0,0,70,5,0,0,0,0,0
854,2011,9,Kevin Walter,0,0,Browns,0,0,0,0,0,0,0.0,WR,0,0,5,1,0,0,0,0,0
960,2011,10,Kevin Walter,0,0,Buccaneers,0,0,0,0,0,0,0.0,WR,0,0,6,1,0,0,0,0,1
1149,2011,12,Kevin Walter,0,0,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,15,2,0,0,0,0,1
1256,2011,13,Kevin Walter,0,0,Falcons,0,0,0,0,0,0,1.0,WR,0,0,12,1,0,0,0,0,0
1299,2011,14,Kevin Walter,0,0,Bengals,0,0,0,0,0,0,13.0,WR,0,1,76,6,0,0,0,0,1
1458,2011,15,Kevin Walter,0,0,Panthers,0,0,0,0,0,0,2.0,WR,0,0,26,2,0,0,0,0,0
1553,2011,16,Kevin Walter,0,0,Colts,0,0,0,0,0,0,4.0,WR,0,0,47,3,0,0,0,0,1
1752,2010,1,Kevin Walter,0,0,Colts,0,0,0,0,0,0,8.0,WR,0,1,29,2,0,0,0,0,0
1826,2010,2,Kevin Walter,0,0,Redskins,0,0,0,0,0,0,20.0,WR,0,1,144,11,0,0,0,0,1
1947,2010,3,Kevin Walter,0,0,Cowboys,0,0,0,0,0,0,9.0,WR,0,1,34,3,0,0,0,0,0
2071,2010,4,Kevin Walter,0,0,Raiders,0,0,0,0,0,0,3.0,WR,0,0,35,4,0,0,0,0,1
2174,2010,5,Kevin Walter,0,0,Giants,0,0,0,0,0,0,2.0,WR,0,0,24,2,0,0,0,0,0
2583,2010,10,Kevin Walter,0,0,Jaguars,0,0,0,0,0,0,15.0,WR,0,1,90,6,0,0,0,0,1
2747,2010,11,Kevin Walter,0,0,Jets,0,0,0,0,0,0,1.0,WR,0,0,16,2,0,0,0,0,1
2861,2010,12,Kevin Walter,0,0,Titans,0,0,0,0,0,0,1.0,WR,0,0,12,1,0,0,0,0,0
2936,2010,13,Kevin Walter,0,0,Eagles,0,0,0,0,0,0,3.0,WR,0,0,33,4,0,0,0,0,1
3021,2010,14,Kevin Walter,0,0,Ravens,0,0,0,0,0,0,5.0,WR,0,0,57,5,0,0,0,0,0
3110,2010,15,Kevin Walter,0,0,Titans,0,0,0,0,0,0,13.0,WR,0,1,79,7,0,0,0,0,1
3280,2010,16,Kevin Walter,0,0,Broncos,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,1
3352,2010,17,Kevin Walter,0,0,Jaguars,0,0,0,0,0,0,5.0,WR,0,0,54,3,0,0,0,0,0
9064,2012,1,Kevin Walter,0,0,Dolphins,0,0,0,0,0,0,1.0,WR,0,0,16,2,0,0,0,0,0
9140,2012,2,Kevin Walter,0,0,Jaguars,0,0,0,0,0,0,3.0,WR,0,0,34,3,0,0,0,0,1
9207,2012,3,Kevin Walter,0,0,Broncos,0,0,0,0,0,0,13.0,WR,0,1,73,3,0,0,0,0,1
9407,2012,4,Kevin Walter,0,0,Titans,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,0
9462,2012,5,Kevin Walter,0,0,Jets,0,0,0,0,0,0,4.0,WR,0,0,46,4,0,0,0,0,1
9584,2012,6,Kevin Walter,0,0,Packers,0,0,0,0,0,0,2.0,WR,0,0,28,2,0,0,0,0,0
9631,2012,7,Kevin Walter,0,0,Ravens,0,0,0,0,0,0,13.0,WR,0,1,74,4,0,0,0,0,0
9869,2012,9,Kevin Walter,0,0,Bills,0,0,0,0,0,0,2.0,WR,0,0,28,2,0,0,0,0,0
9960,2012,10,Kevin Walter,0,0,Bears,0,0,0,0,0,0,3.0,WR,0,0,30,2,0,0,0,0,1
10044,2012,11,Kevin Walter,0,0,Jaguars,0,0,0,0,0,0,5.0,WR,0,0,54,6,0,0,0,0,0
10179,2012,12,Kevin Walter,0,0,Lions,0,0,0,0,0,0,2.0,WR,0,0,20,2,0,0,0,0,1
10274,2012,13,Kevin Walter,0,0,Titans,0,0,0,0,0,0,3.0,WR,0,0,33,4,0,0,0,0,1
10518,2012,15,Kevin Walter,0,0,Colts,0,0,0,0,0,0,1.0,WR,0,0,11,2,0,0,0,0,0
10626,2012,16,Kevin Walter,0,0,Min,0,0,0,0,0,0,1.0,WR,0,0,12,1,0,0,0,0,0
10704,2012,17,Kevin Walter,0,0,Colts,0,0,0,0,0,0,5.0,WR,0,0,51,3,0,0,0,0,1
