,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
6286,2013,9,LaVon Brazill,0,0,Texans,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,1
6369,2013,10,LaVon Brazill,0,0,Rams,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,0
6549,2013,12,LaVon Brazill,0,0,Cardinals,0,0,0,0,0,0,3.0,WR,0,0,35,3,0,0,0,0,1
6643,2013,13,LaVon Brazill,0,0,Titans,0,0,0,0,0,0,4.0,WR,0,0,42,3,0,0,0,0,0
6708,2013,14,LaVon Brazill,0,0,Bengals,0,0,0,0,0,0,17.0,WR,0,2,53,3,0,0,0,0,1
7130,2013,17,LaVon Brazill,0,0,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,0
9080,2012,1,LaVon Brazill,0,1,Bears,0,0,0,0,0,0,0.0,WR,0,0,10,1,0,0,0,0,1
9606,2012,6,LaVon Brazill,0,0,Jets,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,1
9807,2012,8,LaVon Brazill,0,0,Titans,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,1
9877,2012,9,LaVon Brazill,0,0,Dolphins,0,0,0,0,0,0,2.0,WR,0,0,25,2,0,0,0,0,0
9980,2012,10,LaVon Brazill,0,0,Jaguars,0,0,0,0,0,0,2.0,WR,0,0,21,1,0,0,0,0,1
10054,2012,11,LaVon Brazill,0,0,Patriots,0,0,0,0,0,0,4.0,WR,0,0,46,2,0,0,0,0,1
10198,2012,12,LaVon Brazill,0,0,Bills,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,0
10239,2012,13,LaVon Brazill,0,0,Lions,0,0,0,0,0,0,10.0,WR,0,1,42,1,0,0,0,0,1
10437,2012,14,LaVon Brazill,0,0,Titans,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,0
