,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
9021,2012.0,1,Larry Fitzgerald,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,63.0,4.0,0.0,0.0,0.0,0.0,0.0
9187,2012.0,2,Larry Fitzgerald,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,63.0,4.0,0.0,0.0,0.0,0.0,0.0
9201,2012.0,3,Larry Fitzgerald,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,33.5,2.5,0.0,0.0,0.0,0.0,0.5
9331,2012.0,4,Larry Fitzgerald,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,WR,0.0,0.3333333333333333,60.333333333333336,4.666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333
9446,2012.0,5,Larry Fitzgerald,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,8.75,WR,0.0,0.5,61.25,5.5,0.0,0.0,0.0,0.0,0.25
9535,2012.0,6,Larry Fitzgerald,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,8.8,WR,0.0,0.4,67.4,6.0,0.0,0.0,0.0,0.0,0.4
9686,2012.0,7,Larry Fitzgerald,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,9.833333333333334,WR,0.0,0.5,71.66666666666667,6.0,0.0,0.0,0.0,0.0,0.3333333333333333
9758,2012.0,8,Larry Fitzgerald,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,8.714285714285714,WR,0.0,0.42857142857142855,65.57142857142857,5.714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855
9822,2012.0,9,Larry Fitzgerald,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,8.25,WR,0.0,0.375,63.875,5.625,0.0,0.0,0.0,0.0,0.375
10088,2012.0,11,Larry Fitzgerald,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,8.777777777777779,WR,0.0,0.4444444444444444,65.0,5.666666666666667,0.0,0.0,0.0,0.0,0.4444444444444444
10176,2012.0,12,Larry Fitzgerald,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,8.0,WR,0.0,0.4,59.6,5.2,0.0,0.0,0.0,0.0,0.5
10291,2012.0,13,Larry Fitzgerald,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,7.545454545454546,WR,0.0,0.36363636363636365,57.0,5.0,0.0,0.0,0.0,0.0,0.45454545454545453
10434,2012.0,14,Larry Fitzgerald,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,7.083333333333333,WR,0.0,0.3333333333333333,54.166666666666664,4.666666666666667,0.0,0.0,0.0,0.0,0.5
10511,2012.0,15,Larry Fitzgerald,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,6.538461538461538,WR,0.0,0.3076923076923077,50.15384615384615,4.384615384615385,0.0,0.0,0.0,0.0,0.5384615384615384
10566,2012.0,16,Larry Fitzgerald,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,6.214285714285714,WR,0.0,0.2857142857142857,48.142857142857146,4.357142857142857,0.0,0.0,0.0,0.0,0.5
10749,2012.0,17,Larry Fitzgerald,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,6.533333333333333,WR,0.0,0.26666666666666666,52.333333333333336,4.6,0.0,0.0,0.0,0.0,0.4666666666666667
