,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
9094,2012.0,2,Leonard Hankerson,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,12.0,WR,0.0,1.0,68.0,2.0,0.0,0.0,0.0,0.0,1.0
9245,2012.0,3,Leonard Hankerson,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,12.0,WR,0.0,1.0,68.0,2.0,0.0,0.0,0.0,0.0,1.0
9357,2012.0,4,Leonard Hankerson,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,8.5,WR,0.0,0.5,62.0,3.0,0.0,0.0,0.0,0.0,0.5
9519,2012.0,5,Leonard Hankerson,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,WR,0.0,0.3333333333333333,60.333333333333336,4.333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
9592,2012.0,6,Leonard Hankerson,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,5.5,WR,0.0,0.25,46.0,3.5,0.0,0.25,0.0,0.5,0.5
9656,2012.0,7,Leonard Hankerson,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,4.8,WR,0.0,0.2,41.4,3.2,0.0,0.2,0.0,0.4,0.4
9795,2012.0,8,Leonard Hankerson,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,5.166666666666667,WR,0.0,0.16666666666666666,46.166666666666664,3.6666666666666665,0.0,0.16666666666666666,0.0,0.3333333333333333,0.5
9864,2012.0,9,Leonard Hankerson,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,4.571428571428571,WR,0.0,0.14285714285714285,41.857142857142854,3.2857142857142856,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714
10059,2012.0,11,Leonard Hankerson,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,4.5,WR,0.0,0.125,42.75,3.25,0.0,0.125,0.0,0.25,0.5
10195,2012.0,12,Leonard Hankerson,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,WR,0.0,0.1111111111111111,41.333333333333336,3.111111111111111,0.0,0.1111111111111111,0.0,0.2222222222222222,0.4444444444444444
10307,2012.0,13,Leonard Hankerson,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR,0.0,0.1,38.4,2.9,0.0,0.1,0.0,0.2,0.5
10369,2012.0,14,Leonard Hankerson,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,3.727272727272727,WR,0.0,0.09090909090909091,36.18181818181818,2.727272727272727,0.0,0.09090909090909091,0.0,0.18181818181818182,0.45454545454545453
10448,2012.0,15,Leonard Hankerson,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,3.9166666666666665,WR,0.0,0.08333333333333333,38.75,2.8333333333333335,0.0,0.16666666666666666,0.0,0.4166666666666667,0.4166666666666667
10639,2012.0,16,Leonard Hankerson,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,4.923076923076923,WR,0.0,0.23076923076923078,40.07692307692308,2.769230769230769,0.0,0.15384615384615385,0.0,0.38461538461538464,0.46153846153846156
10748,2012.0,17,Leonard Hankerson,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,4.642857142857143,WR,0.0,0.21428571428571427,37.92857142857143,2.642857142857143,0.0,0.14285714285714285,0.0,0.35714285714285715,0.5
