,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
9018,2012.0,1,Louis Murphy,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,63.0,3.0,0.0,0.0,0.0,0.0,1.0
9303,2012.0,3,Louis Murphy,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,63.0,3.0,0.0,0.0,0.0,0.0,1.0
9412,2012.0,4,Louis Murphy,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0,0.5
9516,2012.0,5,Louis Murphy,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,26.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666
9671,2012.0,7,Louis Murphy,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,1.5,WR,0.0,0.0,20.75,1.5,0.0,0.25,0.0,0.75,0.5
9893,2012.0,9,Louis Murphy,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,26.2,1.8,0.0,0.2,0.0,0.6,0.4
10078,2012.0,11,Louis Murphy,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,WR,0.0,0.0,22.5,1.6666666666666667,0.0,0.16666666666666666,0.0,0.5,0.5
10152,2012.0,12,Louis Murphy,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,WR,0.0,0.0,21.0,1.5714285714285714,0.0,0.14285714285714285,0.0,0.42857142857142855,0.42857142857142855
10254,2012.0,13,Louis Murphy,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,2.125,WR,0.0,0.0,26.5,1.625,0.0,0.125,0.0,0.375,0.5
10387,2012.0,14,Louis Murphy,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,2.5555555555555554,WR,0.0,0.1111111111111111,24.444444444444443,1.5555555555555556,0.0,0.1111111111111111,0.0,0.3333333333333333,0.5555555555555556
10524,2012.0,15,Louis Murphy,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,2.6,WR,0.0,0.1,25.6,1.9,0.0,0.1,0.0,0.3,0.5
10649,2012.0,16,Louis Murphy,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,2.4545454545454546,WR,0.0,0.09090909090909091,24.90909090909091,1.9090909090909092,0.0,0.09090909090909091,0.0,0.2727272727272727,0.5454545454545454
10706,2012.0,17,Louis Murphy,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,2.25,WR,0.0,0.08333333333333333,23.25,1.8333333333333333,0.0,0.08333333333333333,0.0,0.25,0.5
