,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2013,4,Marcus Thigpen,0,0,Saints,0,0,0,0,0,0,5.0,WR,0,0,50,1,0,0,0,0,1,Saints,0,1,3,Dolphins,216,17,16.0,DST,115,4.0,0,331,0,0
1,2013,5,Marcus Thigpen,0,0,Ravens,0,0,0,0,0,0,0.0,WR,0,0,5,1,0,0,0,0,0,Ravens,0,0,0,Dolphins,272,23,7.0,DST,22,6.0,0,294,0,1
2,2013,8,Marcus Thigpen,0,0,Patriots,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,-1,1,Patriots,1,1,2,Dolphins,145,17,18.0,DST,156,6.0,0,301,0,0
3,2013,11,Marcus Thigpen,0,0,Chargers,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,9,0,Chargers,0,0,1,Dolphins,239,20,10.0,DST,104,4.0,0,343,0,1
4,2013,12,Marcus Thigpen,0,0,Panthers,0,0,0,0,0,0,0.0,WR,0,0,4,1,0,0,0,0,0,Panthers,0,0,1,Dolphins,280,16,9.0,DST,52,3.0,0,332,0,1
5,2013,13,Marcus Thigpen,0,0,Jets,0,0,0,0,0,0,1.0,WR,0,0,0,1,0,4,0,10,1,Jets,0,0,1,Dolphins,328,23,4.0,DST,125,1.0,0,453,0,0
6,2013,14,Marcus Thigpen,0,0,Steelers,0,0,0,0,0,0,0.0,WR,0,0,4,1,0,0,0,0,1,Steelers,0,0,1,Dolphins,186,34,10.0,DST,181,2.0,0,367,1,0
7,2013,15,Marcus Thigpen,0,0,Patriots,0,0,0,0,0,0,8.0,WR,0,1,23,2,0,0,0,0,0,Patriots,0,1,0,Dolphins,289,24,7.0,DST,89,4.0,0,378,0,1
8,2013,17,Marcus Thigpen,0,0,Jets,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,0,Jets,0,0,3,Dolphins,204,7,13.0,DST,92,0.0,0,296,0,1
9,2015,9,Marcus Thigpen,0,1,Steelers,0,0,0,0,0,0,-1.0,WR,0,0,0,0,0,0,0,0,1,Steelers,0,3,1,Raiders,301,35,8.0,DST,139,0.0,0,440,0,0
10,2015,14,Marcus Thigpen,0,1,Eagles,0,0,0,0,0,0,-1.0,WR,0,0,0,0,0,0,0,0,1,Eagles,0,1,1,Bills,260,20,9.0,DST,152,1.0,0,412,0,0
11,2015,15,Marcus Thigpen,0,0,Redskins,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,-1,1,Redskins,0,0,0,Bills,212,25,6.0,DST,240,5.0,0,452,0,0
12,2012,13,Marcus Thigpen,0,0,Patriots,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,8,0,Patriots,0,1,0,Dolphins,176,16,9.0,DST,101,3.0,0,277,0,1
13,2012,14,Marcus Thigpen,0,1,49ers,0,0,0,0,0,0,-1.0,WR,0,0,0,0,0,0,0,0,1,49ers,0,1,0,Dolphins,133,13,11.0,DST,94,2.0,0,227,0,0
14,2012,15,Marcus Thigpen,0,0,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,15,1,0,0,0,0,0,Jaguars,0,1,0,Dolphins,209,24,4.0,DST,180,1.0,0,389,0,1
15,2014,11,Marcus Thigpen,0,1,Redskins,0,0,0,0,0,0,-1.0,WR,0,0,0,0,0,0,0,0,1,Redskins,0,1,0,Buccaneers,281,27,5.0,DST,48,2.0,0,329,0,0
