,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1756,2010,1,Mario Manningham,0,0,Panthers,0,0,0,0,0,0,8.0,WR,0,0,85,4,0,0,0,0,0
1836,2010,2,Mario Manningham,0,0,Colts,0,0,0,0,0,0,13.0,WR,0,1,75,4,0,1,0,2,1
1958,2010,3,Mario Manningham,0,0,Titans,0,0,0,0,0,0,7.0,WR,0,0,78,6,0,0,0,0,0
2232,2010,6,Mario Manningham,0,0,Lions,0,0,0,0,0,0,11.0,WR,0,1,51,4,0,0,0,0,0
2329,2010,7,Mario Manningham,0,0,Cowboys,0,0,0,0,0,0,10.0,WR,0,1,40,3,0,0,0,0,1
2522,2010,9,Mario Manningham,0,0,Seahawks,0,0,0,0,0,0,5.0,WR,0,0,56,4,0,0,0,0,1
2584,2010,10,Mario Manningham,0,0,Cowboys,0,0,0,0,0,0,15.0,WR,0,1,91,10,0,0,0,0,0
2740,2010,11,Mario Manningham,0,0,Eagles,0,0,0,0,0,0,2.0,WR,0,0,24,3,0,0,0,0,1
2789,2010,12,Mario Manningham,0,0,Jaguars,0,0,0,0,0,0,12.0,WR,0,1,61,3,0,0,0,0,0
2941,2010,13,Mario Manningham,0,0,Redskins,0,0,0,0,0,0,3.0,WR,0,0,36,2,0,0,0,0,0
3087,2010,14,Mario Manningham,0,0,Min,0,0,0,0,0,0,0.0,WR,0,0,1,1,0,0,0,0,1
3099,2010,15,Mario Manningham,0,1,Eagles,0,0,0,0,0,0,22.0,WR,0,2,113,8,0,0,0,0,0
3206,2010,16,Mario Manningham,0,0,Packers,0,0,0,0,0,0,19.0,WR,0,1,132,4,0,0,0,0,1
3310,2010,17,Mario Manningham,0,0,Redskins,0,0,0,0,0,0,16.0,WR,0,1,101,4,0,0,0,0,1
