,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
10787,2014.0,1,Marques Colston,0.0,1.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,0.0,110.0,5.0,0.0,0.0,0.0,0.0,1.0
11031,2014.0,3,Marques Colston,0.0,1.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,0.0,110.0,5.0,0.0,0.0,0.0,0.0,1.0
11163,2014.0,4,Marques Colston,0.0,0.5,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR,0.0,0.5,67.5,3.5,0.0,0.0,0.0,0.0,0.5
11253,2014.0,5,Marques Colston,0.0,0.3333333333333333,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666667,WR,0.0,0.3333333333333333,61.666666666666664,4.0,0.0,0.0,0.0,0.0,0.6666666666666666
11467,2014.0,7,Marques Colston,0.0,0.25,Lions,0.0,0.0,0.0,0.0,0.0,0.0,7.25,WR,0.0,0.25,62.0,3.75,0.0,0.0,0.0,0.0,0.5
11612,2014.0,8,Marques Colston,0.0,0.2,Packers,0.0,0.0,0.0,0.0,0.0,0.0,8.0,WR,0.0,0.2,71.8,4.2,0.0,0.0,0.0,0.0,0.6
11720,2014.0,9,Marques Colston,0.0,0.16666666666666666,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,WR,0.0,0.16666666666666666,68.0,4.166666666666667,0.0,0.0,0.0,0.0,0.5
11813,2014.0,10,Marques Colston,0.0,0.14285714285714285,49ers,0.0,0.0,0.0,0.0,0.0,0.0,6.714285714285714,WR,0.0,0.14285714285714285,63.42857142857143,4.0,0.0,0.0,0.0,0.0,0.5714285714285714
11908,2014.0,11,Marques Colston,0.0,0.125,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,6.25,WR,0.0,0.125,60.0,3.75,0.0,0.0,0.0,0.0,0.5
11967,2014.0,12,Marques Colston,0.0,0.1111111111111111,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,6.111111111111111,WR,0.0,0.1111111111111111,59.55555555555556,3.7777777777777777,0.0,0.0,0.0,0.0,0.4444444444444444
12099,2014.0,13,Marques Colston,0.0,0.1,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,6.9,WR,0.0,0.2,61.8,3.8,0.0,0.0,0.0,0.0,0.4
12210,2014.0,14,Marques Colston,0.0,0.09090909090909091,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,6.909090909090909,WR,0.0,0.2727272727272727,57.63636363636363,3.727272727272727,0.0,0.0,0.0,0.0,0.45454545454545453
12297,2014.0,15,Marques Colston,0.0,0.08333333333333333,Bears,0.0,0.0,0.0,0.0,0.0,0.0,6.916666666666667,WR,0.0,0.25,58.833333333333336,3.8333333333333335,0.0,0.0,0.0,0.0,0.4166666666666667
12424,2014.0,16,Marques Colston,0.0,0.07692307692307693,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,7.3076923076923075,WR,0.0,0.3076923076923077,59.30769230769231,3.923076923076923,0.0,0.0,0.0,0.0,0.46153846153846156
12523,2014.0,17,Marques Colston,0.0,0.07142857142857142,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,7.357142857142857,WR,0.0,0.2857142857142857,60.785714285714285,4.071428571428571,0.0,0.0,0.0,0.0,0.42857142857142855
