,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
136,2013,4,Matt Hasselbeck,0,0,Jaguars,0,3,2,0,0,37,1.0,QB,0,0,0,0,0,0,0,0,1
335,2013,10,Matt Hasselbeck,0,0,Rams,0,5,2,1,0,68,0.0,QB,0,0,0,0,0,1,0,-1,0
586,2013,17,Matt Hasselbeck,0,0,Jaguars,0,4,3,0,0,25,1.0,QB,0,0,0,0,0,1,0,-1,0
714,2015,4,Matt Hasselbeck,0,0,Jaguars,0,47,30,0,1,282,17.0,QB,0,0,0,0,0,3,0,1,0
744,2015,5,Matt Hasselbeck,0,0,Texans,0,29,18,0,2,213,20.0,QB,0,0,0,0,0,3,0,-3,1
936,2015,11,Matt Hasselbeck,0,0,Falcons,0,32,23,2,2,213,16.0,QB,0,0,0,0,0,3,0,8,1
961,2015,12,Matt Hasselbeck,0,0,Buccaneers,0,42,26,0,2,315,24.0,QB,0,0,0,0,0,3,0,-3,0
1013,2015,13,Matt Hasselbeck,0,1,Steelers,0,26,16,2,1,169,7.0,QB,0,0,0,0,0,2,0,1,1
1048,2015,14,Matt Hasselbeck,0,1,Jaguars,0,35,18,0,0,252,10.0,QB,0,0,0,0,0,1,0,10,1
1094,2015,15,Matt Hasselbeck,0,0,Texans,0,30,17,1,1,147,9.0,QB,0,0,0,0,0,1,0,1,0
1140,2015,16,Matt Hasselbeck,0,0,Dolphins,0,15,8,0,0,99,3.0,QB,0,0,0,0,0,0,0,0,1
1220,2012,1,Matt Hasselbeck,0,0,Patriots,0,11,6,0,0,43,1.0,QB,0,0,0,0,0,0,0,0,0
1314,2012,4,Matt Hasselbeck,0,1,Texans,0,25,17,2,2,193,14.0,QB,0,0,0,0,0,2,0,3,1
1346,2012,5,Matt Hasselbeck,0,0,Min,0,43,26,1,1,200,13.0,QB,0,0,0,0,0,2,0,10,1
1383,2012,6,Matt Hasselbeck,0,0,Steelers,0,44,25,1,1,290,15.0,QB,0,0,0,0,0,1,0,2,0
1414,2012,7,Matt Hasselbeck,0,0,Bills,0,33,22,0,1,205,14.0,QB,0,0,0,0,0,1,0,-2,1
1442,2012,8,Matt Hasselbeck,0,0,Colts,0,29,22,0,1,236,16.0,QB,0,0,0,0,0,2,0,10,0
1479,2012,9,Matt Hasselbeck,0,0,Bears,1,35,20,1,1,200,15.0,QB,0,0,0,0,0,2,0,18,0
1528,2012,10,Matt Hasselbeck,0,0,Dolphins,0,1,0,0,0,0,0.0,QB,0,0,0,0,0,3,0,-3,1
1900,2014,3,Matt Hasselbeck,0,0,Jaguars,0,4,2,0,0,20,0.0,QB,0,0,0,0,0,1,0,-1,1
