,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1812,2010.0,1,Michael Crabtree,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0
1885,2010.0,2,Michael Crabtree,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0
1994,2010.0,3,Michael Crabtree,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,22.0,1.5,0.0,0.0,0.0,0.0,0.5
2063,2010.0,4,Michael Crabtree,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,WR,0.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666
2129,2010.0,5,Michael Crabtree,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,34.75,2.75,0.0,0.0,0.0,0.0,0.75
2234,2010.0,6,Michael Crabtree,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,5.6,WR,0.0,0.2,48.8,4.0,0.0,0.0,0.0,0.0,0.6
2361,2010.0,7,Michael Crabtree,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,6.5,WR,0.0,0.3333333333333333,50.166666666666664,4.0,0.0,0.0,0.0,0.0,0.5
2414,2010.0,8,Michael Crabtree,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.2857142857142857,47.42857142857143,4.0,0.0,0.0,0.0,0.0,0.5714285714285714
2593,2010.0,10,Michael Crabtree,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,6.625,WR,0.0,0.375,48.125,3.875,0.0,0.0,0.0,0.0,0.5
2757,2010.0,11,Michael Crabtree,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,7.222222222222222,WR,0.0,0.4444444444444444,49.55555555555556,3.888888888888889,0.0,0.0,0.0,0.0,0.4444444444444444
2798,2010.0,12,Michael Crabtree,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,6.6,WR,0.0,0.4,46.1,3.6,0.0,0.0,0.0,0.0,0.4
2931,2010.0,13,Michael Crabtree,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,6.909090909090909,WR,0.0,0.45454545454545453,46.27272727272727,3.4545454545454546,0.0,0.0,0.0,0.0,0.45454545454545453
3092,2010.0,14,Michael Crabtree,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,WR,0.0,0.4166666666666667,46.166666666666664,3.4166666666666665,0.0,0.0,0.0,0.0,0.5
3186,2010.0,15,Michael Crabtree,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,6.153846153846154,WR,0.0,0.38461538461538464,42.69230769230769,3.230769230769231,0.0,0.0,0.0,0.0,0.46153846153846156
3207,2010.0,16,Michael Crabtree,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,5.785714285714286,WR,0.0,0.35714285714285715,40.857142857142854,3.2142857142857144,0.0,0.0,0.0,0.0,0.5
