,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5443,2013,1,Mike Brown,0,0,Chiefs,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,0
5929,2013,6,Mike Brown,0,0,Broncos,0,0,0,0,0,0,4.0,WR,0,0,49,4,0,0,0,0,1
6011,2013,7,Mike Brown,0,0,Chargers,0,0,0,0,0,0,12.0,WR,0,0,120,5,0,0,0,0,0
6121,2013,8,Mike Brown,0,0,49ers,0,0,0,0,0,0,10.0,WR,0,1,43,3,0,0,0,0,0
6334,2013,10,Mike Brown,0,0,Titans,0,0,0,0,0,0,4.0,WR,0,0,40,2,0,0,0,0,1
6456,2013,11,Mike Brown,0,0,Cardinals,0,0,0,0,0,0,2.0,WR,0,0,23,2,0,0,0,0,0
6696,2013,13,Mike Brown,0,0,Browns,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,0,0,0,1
6790,2013,14,Mike Brown,0,0,Texans,0,0,0,0,0,0,1.0,WR,0,0,16,3,0,0,0,0,0
6909,2013,15,Mike Brown,0,1,Bills,0,0,0,0,0,0,1.0,WR,0,0,20,3,0,0,0,0,0
6932,2013,16,Mike Brown,0,0,Titans,0,0,0,0,0,0,13.0,WR,0,1,71,5,0,0,0,0,0
7097,2013,17,Mike Brown,0,0,Colts,0,0,0,0,0,0,4.0,WR,0,0,43,3,0,0,0,0,1
