,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
10831,2014.0,1,Mike Evans,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0
10925,2014.0,2,Mike Evans,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0
11049,2014.0,3,Mike Evans,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,3.5,WR,0.0,0.0,43.0,4.5,0.0,0.0,0.0,0.0,0.0
11132,2014.0,4,Mike Evans,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR,0.0,0.0,46.0,4.333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
11356,2014.0,6,Mike Evans,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.25,50.75,4.25,0.0,0.0,0.0,0.0,0.5
11586,2014.0,8,Mike Evans,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,7.0,WR,0.0,0.4,51.6,4.2,0.0,0.0,0.0,0.0,0.4
11667,2014.0,9,Mike Evans,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,7.0,WR,0.0,0.3333333333333333,56.0,4.166666666666667,0.0,0.0,0.0,0.0,0.3333333333333333
11774,2014.0,10,Mike Evans,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,9.428571428571429,WR,0.0,0.5714285714285714,65.71428571428571,4.571428571428571,0.0,0.0,0.0,0.0,0.42857142857142855
11863,2014.0,11,Mike Evans,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,10.5,WR,0.0,0.625,73.125,4.875,0.0,0.0,0.0,0.0,0.375
11982,2014.0,12,Mike Evans,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,12.88888888888889,WR,0.0,0.7777777777777778,88.22222222222223,5.111111111111111,0.0,0.0,0.0,0.0,0.4444444444444444
12120,2014.0,13,Mike Evans,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,12.6,WR,0.0,0.8,84.1,4.9,0.0,0.0,0.0,0.0,0.5
12185,2014.0,14,Mike Evans,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,11.818181818181818,WR,0.0,0.7272727272727273,80.9090909090909,4.818181818181818,0.0,0.0,0.0,0.0,0.45454545454545453
12322,2014.0,15,Mike Evans,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,12.166666666666666,WR,0.0,0.8333333333333334,77.91666666666667,4.75,0.0,0.0,0.0,0.0,0.5
12457,2014.0,16,Mike Evans,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,11.76923076923077,WR,0.0,0.8461538461538461,72.92307692307692,4.538461538461538,0.0,0.0,0.0,0.0,0.5384615384615384
12522,2014.0,17,Mike Evans,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,11.214285714285714,WR,0.0,0.7857142857142857,71.21428571428571,4.5,0.0,0.0,0.0,0.0,0.5
7394,2015.0,3,Mike Evans,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,0.0,101.0,7.0,0.0,0.0,0.0,0.0,1.0
7550,2015.0,4,Mike Evans,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,10.0,WR,0.0,0.0,101.0,7.0,0.0,0.0,0.0,0.0,1.0
7641,2015.0,5,Mike Evans,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,6.5,WR,0.0,0.0,66.5,5.0,0.0,0.0,0.0,0.0,0.5
7791,2015.0,7,Mike Evans,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,WR,0.0,0.0,58.0,4.333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
7935,2015.0,8,Mike Evans,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,9.75,WR,0.0,0.25,84.5,5.25,0.0,0.0,0.0,0.0,0.5
8001,2015.0,9,Mike Evans,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,8.6,WR,0.0,0.2,77.2,4.8,0.0,0.0,0.0,0.0,0.6
8093,2015.0,10,Mike Evans,0.0,0.16666666666666666,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,9.5,WR,0.0,0.16666666666666666,89.33333333333333,5.333333333333333,0.0,0.0,0.0,0.0,0.5
8195,2015.0,11,Mike Evans,0.0,0.14285714285714285,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,9.857142857142858,WR,0.0,0.14285714285714285,94.57142857142857,5.714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855
8326,2015.0,12,Mike Evans,0.0,0.125,Colts,0.0,0.0,0.0,0.0,0.0,0.0,10.125,WR,0.0,0.25,90.625,5.5,0.0,0.0,0.0,0.0,0.5
8417,2015.0,13,Mike Evans,0.0,0.1111111111111111,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,WR,0.0,0.2222222222222222,87.66666666666667,5.444444444444445,0.0,0.0,0.0,0.0,0.5555555555555556
8581,2015.0,14,Mike Evans,0.0,0.1,Saints,0.0,0.0,0.0,0.0,0.0,0.0,9.9,WR,0.0,0.3,85.0,5.4,0.0,0.0,0.0,0.0,0.5
8647,2015.0,15,Mike Evans,0.0,0.09090909090909091,Rams,0.0,0.0,0.0,0.0,0.0,0.0,9.272727272727273,WR,0.0,0.2727272727272727,80.81818181818181,5.181818181818182,0.0,0.0,0.0,0.0,0.45454545454545453
8788,2015.0,16,Mike Evans,0.0,0.08333333333333333,Bears,0.0,0.0,0.0,0.0,0.0,0.0,9.75,WR,0.0,0.25,87.16666666666667,5.5,0.0,0.0,0.0,0.0,0.5
8889,2015.0,17,Mike Evans,0.0,0.07692307692307693,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,9.461538461538462,WR,0.0,0.23076923076923078,85.15384615384616,5.384615384615385,0.0,0.0,0.0,0.0,0.46153846153846156
3426,2016.0,1,Mike Evans,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,15.0,WR,0.0,1.0,99.0,5.0,0.0,0.0,0.0,0.0,1.0
3543,2016.0,2,Mike Evans,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,15.0,WR,0.0,1.0,99.0,5.0,0.0,0.0,0.0,0.0,1.0
3663,2016.0,3,Mike Evans,0.0,0.0,LA,0.0,0.0,0.0,0.0,0.0,0.0,14.0,WR,0.0,1.0,84.5,5.5,0.0,0.0,0.0,0.0,1.0
3820,2016.0,4,Mike Evans,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,WR,0.0,1.0,100.33333333333333,7.0,0.0,0.0,0.0,0.0,0.6666666666666666
3894,2016.0,5,Mike Evans,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,13.0,WR,0.0,0.75,90.0,6.5,0.0,0.0,0.0,0.0,0.5
4097,2016.0,7,Mike Evans,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,13.2,WR,0.0,0.8,89.8,6.4,0.0,0.0,0.0,0.0,0.6
4245,2016.0,8,Mike Evans,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,14.5,WR,0.0,1.0,90.83333333333333,6.666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666
4307,2016.0,9,Mike Evans,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,13.428571428571429,WR,0.14285714285714285,0.8571428571428571,85.0,6.285714285714286,0.0,0.0,0.0,0.0,0.5714285714285714
4450,2016.0,10,Mike Evans,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,15.125,WR,0.125,1.0,93.125,6.875,0.0,0.0,0.0,0.0,0.5
4530,2016.0,11,Mike Evans,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,14.11111111111111,WR,0.1111111111111111,0.8888888888888888,90.11111111111111,6.555555555555555,0.0,0.0,0.0,0.0,0.4444444444444444
4615,2016.0,12,Mike Evans,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,13.7,WR,0.1,0.8,91.6,6.5,0.0,0.0,0.0,0.0,0.5
4793,2016.0,13,Mike Evans,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,14.454545454545455,WR,0.09090909090909091,0.9090909090909091,92.72727272727273,6.636363636363637,0.0,0.0,0.0,0.0,0.45454545454545453
4908,2016.0,14,Mike Evans,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,13.666666666666666,WR,0.16666666666666666,0.8333333333333334,88.16666666666667,6.333333333333333,0.0,0.0,0.0,0.0,0.5
5018,2016.0,15,Mike Evans,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,12.923076923076923,WR,0.15384615384615385,0.7692307692307693,84.61538461538461,6.153846153846154,0.0,0.0,0.0,0.0,0.46153846153846156
5106,2016.0,16,Mike Evans,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,12.357142857142858,WR,0.14285714285714285,0.7142857142857143,82.78571428571429,6.0,0.0,0.0,0.0,0.0,0.5
5230,2016.0,17,Mike Evans,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,12.533333333333333,WR,0.13333333333333333,0.7333333333333333,83.73333333333333,6.066666666666666,0.0,0.0,0.0,0.0,0.5333333333333333
