,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,1,Mike Williams,0,0,Lions,0,0,0,0,0,0,11.0,WR,0,1,50,4,0,0,0,0,0,Lions,0,1,1,Buccaneers,259,20,10.0,DST,56,2.0,0,315,0,1
1,2011,1,Mike Williams,0,0,49ers,0,0,0,0,0,0,3.0,WR,0,0,34,4,0,0,0,0,1,49ers,0,2,1,Seahawks,155,17,27.0,DST,64,5.0,0,219,2,0
2,2011,2,Mike Williams,0,0,Steelers,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,1,Steelers,0,0,0,Seahawks,133,0,15.0,DST,31,5.0,0,164,0,0
3,2011,3,Mike Williams,0,0,Falcons,0,0,0,0,0,0,4.0,WR,0,0,43,5,0,0,0,0,0,Falcons,0,0,2,Buccaneers,180,16,8.0,DST,115,0.0,0,295,0,1
4,2011,4,Mike Williams,0,0,Falcons,0,0,0,0,0,0,9.0,WR,0,1,36,3,0,0,0,0,0,Falcons,0,0,2,Seahawks,319,28,4.0,DST,53,0.0,0,372,0,1
5,2011,4,Mike Williams,0,0,Colts,0,0,0,0,0,0,6.0,WR,0,0,66,5,0,1,0,3,0,Colts,0,0,0,Buccaneers,274,24,3.0,DST,192,2.0,0,466,0,1
6,2011,5,Mike Williams,0,1,49ers,0,0,0,0,0,0,1.0,WR,0,0,28,4,0,0,0,0,1,49ers,0,1,2,Buccaneers,186,3,25.0,DST,86,3.0,0,272,1,0
7,2011,6,Mike Williams,0,0,Saints,0,0,0,0,0,0,5.0,WR,0,0,59,6,0,0,0,0,0,Saints,0,0,0,Buccaneers,303,26,1.0,DST,117,0.0,0,420,0,1
8,2011,7,Mike Williams,0,0,Bears,0,0,0,0,0,0,7.0,WR,0,0,75,6,0,0,0,0,0,Bears,0,0,4,Buccaneers,250,18,13.0,DST,30,1.0,0,280,0,1
9,2011,7,Mike Williams,0,0,Browns,0,0,0,0,0,0,1.0,WR,0,0,10,1,0,0,0,0,1,Browns,0,1,1,Seahawks,69,3,18.0,DST,68,4.0,0,137,0,0
10,2011,9,Mike Williams,0,0,Cowboys,0,0,0,0,0,0,4.0,WR,0,0,41,3,0,0,0,0,1,Cowboys,1,0,3,Seahawks,219,13,16.0,DST,162,1.0,0,381,0,0
11,2011,9,Mike Williams,0,0,Saints,0,0,0,0,0,0,4.0,WR,0,0,46,6,0,0,0,0,1,Saints,0,0,0,Buccaneers,281,16,5.0,DST,84,1.0,0,365,0,0
12,2011,10,Mike Williams,0,0,Texans,0,0,0,0,0,0,4.0,WR,0,0,43,2,0,0,0,0,0,Texans,0,1,3,Buccaneers,141,9,19.0,DST,90,4.0,0,231,0,1
13,2011,11,Mike Williams,0,0,Packers,0,0,0,0,0,0,14.0,WR,0,1,83,7,0,0,0,0,1,Packers,0,0,2,Buccaneers,334,26,7.0,DST,121,2.0,0,455,0,0
14,2011,11,Mike Williams,0,0,Rams,0,0,0,0,0,0,6.0,WR,0,0,62,2,0,0,0,0,1,Rams,0,0,2,Seahawks,163,24,9.0,DST,126,4.0,0,289,0,0
15,2011,12,Mike Williams,0,1,Titans,0,0,0,0,0,0,13.0,WR,0,1,84,6,0,0,0,0,1,Titans,0,4,1,Buccaneers,186,17,22.0,DST,122,2.0,0,308,1,0
16,2011,13,Mike Williams,0,0,Panthers,0,0,0,0,0,0,9.0,WR,0,0,93,5,0,0,0,0,0,Panthers,0,0,1,Buccaneers,207,19,8.0,DST,78,2.0,0,285,0,1
17,2011,14,Mike Williams,0,0,Jaguars,0,0,0,0,0,0,3.0,WR,0,0,35,3,0,0,0,0,1,Jaguars,0,4,3,Buccaneers,170,14,33.0,DST,110,3.0,0,280,2,0
18,2011,14,Mike Williams,0,0,Rams,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,0,Rams,0,1,0,Seahawks,214,30,4.0,DST,145,2.0,0,359,0,1
19,2011,15,Mike Williams,0,0,Bears,0,0,0,0,0,0,3.0,WR,0,0,31,2,0,0,0,0,1,Bears,0,1,0,Seahawks,226,38,9.0,DST,60,1.0,0,286,1,0
20,2011,16,Mike Williams,0,0,Panthers,0,0,0,0,0,0,3.0,WR,0,0,39,4,0,0,0,0,1,Panthers,0,3,1,Buccaneers,258,16,15.0,DST,59,3.0,0,317,0,0
21,2011,17,Mike Williams,0,0,Falcons,0,0,0,0,0,0,3.0,WR,0,0,31,1,0,0,0,0,1,Falcons,0,1,3,Buccaneers,259,24,17.0,DST,35,2.0,0,294,1,0
