,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
10816,2014.0,1,Mohamed Sanu,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR,1.0,0.0,36.0,4.0,0.0,1.0,0.0,4.0,1.0
10880,2014.0,2,Mohamed Sanu,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR,1.0,0.0,36.0,4.0,0.0,1.0,0.0,4.0,1.0
11016,2014.0,3,Mohamed Sanu,0.0,0.0,Titans,0.0,0.5,0.5,0.0,0.0,25.0,10.5,WR,0.5,0.5,60.0,3.5,0.0,0.5,0.0,2.0,0.5
11226,2014.0,5,Mohamed Sanu,0.0,0.0,Patriots,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,22.666666666666668,10.333333333333334,WR,0.3333333333333333,0.3333333333333333,54.666666666666664,4.0,0.0,0.3333333333333333,0.0,1.3333333333333333,0.3333333333333333
11337,2014.0,6,Mohamed Sanu,0.0,0.0,Panthers,0.0,0.5,0.5,0.0,0.25,17.0,11.0,WR,0.25,0.5,58.5,4.25,0.0,0.25,0.0,1.0,0.5
11491,2014.0,7,Mohamed Sanu,0.0,0.0,Colts,0.0,0.4,0.4,0.0,0.2,13.6,12.4,WR,0.2,0.6,70.8,5.4,0.0,0.2,0.0,0.8,0.4
11567,2014.0,8,Mohamed Sanu,0.0,0.0,Ravens,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,11.333333333333334,11.166666666666666,WR,0.16666666666666666,0.5,68.0,5.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.5
11674,2014.0,9,Mohamed Sanu,0.0,0.0,Jaguars,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,9.714285714285714,11.571428571428571,WR,0.14285714285714285,0.42857142857142855,76.14285714285714,5.0,0.0,0.42857142857142855,0.0,4.428571428571429,0.42857142857142855
11821,2014.0,10,Mohamed Sanu,0.0,0.0,Browns,0.0,0.25,0.25,0.0,0.125,8.5,12.0,WR,0.125,0.5,78.5,4.875,0.0,0.5,0.0,5.0,0.375
11926,2014.0,11,Mohamed Sanu,0.0,0.0,Saints,0.0,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,7.555555555555555,10.88888888888889,WR,0.1111111111111111,0.4444444444444444,72.0,4.555555555555555,0.0,0.4444444444444444,0.0,4.444444444444445,0.3333333333333333
11979,2014.0,12,Mohamed Sanu,0.0,0.0,Texans,0.0,0.2,0.2,0.0,0.1,6.8,10.0,WR,0.1,0.4,67.1,4.4,0.0,0.4,0.0,4.0,0.4
12139,2014.0,13,Mohamed Sanu,0.0,0.0,Buccaneers,0.0,0.18181818181818182,0.18181818181818182,0.0,0.09090909090909091,6.181818181818182,10.0,WR,0.09090909090909091,0.45454545454545453,65.36363636363636,4.454545454545454,0.0,0.45454545454545453,0.0,3.727272727272727,0.45454545454545453
12259,2014.0,14,Mohamed Sanu,0.0,0.0,Steelers,0.0,0.25,0.25,0.0,0.08333333333333333,6.583333333333333,9.333333333333334,WR,0.08333333333333333,0.4166666666666667,61.5,4.25,0.0,0.5,0.0,4.25,0.5
12385,2014.0,15,Mohamed Sanu,0.0,0.0,Browns,0.0,0.23076923076923078,0.23076923076923078,0.0,0.07692307692307693,6.076923076923077,8.692307692307692,WR,0.07692307692307693,0.38461538461538464,58.0,4.076923076923077,0.0,0.5384615384615384,0.0,3.923076923076923,0.46153846153846156
12487,2014.0,16,Mohamed Sanu,0.0,0.0,Broncos,0.0,0.21428571428571427,0.21428571428571427,0.0,0.07142857142857142,5.642857142857143,8.071428571428571,WR,0.07142857142857142,0.35714285714285715,54.142857142857146,3.857142857142857,0.0,0.5,0.0,3.642857142857143,0.5
12587,2014.0,17,Mohamed Sanu,0.0,0.0,Steelers,0.0,0.2,0.2,0.0,0.06666666666666667,5.266666666666667,7.6,WR,0.06666666666666667,0.3333333333333333,51.6,3.6666666666666665,0.0,0.4666666666666667,0.0,3.4,0.4666666666666667
