,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
3729,2016.0,3,Robby Anderson,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,1.0
3868,2016.0,4,Robby Anderson,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,1.0
3964,2016.0,5,Robby Anderson,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.5
4073,2016.0,6,Robby Anderson,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,WR,0.0,0.0,18.666666666666668,1.6666666666666667,0.0,0.0,0.0,0.0,0.6666666666666666
4130,2016.0,7,Robby Anderson,0.0,0.0,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,1.75,WR,0.0,0.0,20.0,2.25,0.0,0.0,0.0,0.0,0.75
4276,2016.0,8,Robby Anderson,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,2.8,WR,0.0,0.0,24.2,2.4,0.0,0.2,0.0,6.0,0.6
4362,2016.0,9,Robby Anderson,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,WR,0.0,0.0,25.333333333333332,2.5,0.0,0.16666666666666666,0.0,5.0,0.6666666666666666
4451,2016.0,10,Robby Anderson,0.0,0.0,LA,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,28.714285714285715,2.7142857142857144,0.0,0.14285714285714285,0.0,4.285714285714286,0.7142857142857143
4703,2016.0,12,Robby Anderson,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,3.375,WR,0.0,0.0,33.75,2.75,0.0,0.125,0.0,3.75,0.625
4753,2016.0,13,Robby Anderson,0.0,0.1111111111111111,Colts,0.0,0.0,0.0,0.0,0.0,0.0,3.2222222222222223,WR,0.0,0.0,33.77777777777778,2.6666666666666665,0.0,0.1111111111111111,0.0,3.3333333333333335,0.5555555555555556
4880,2016.0,14,Robby Anderson,0.0,0.1,49ers,0.0,0.0,0.0,0.0,0.0,0.0,4.1,WR,0.0,0.1,36.5,2.8,0.0,0.1,0.0,3.0,0.5
4980,2016.0,15,Robby Anderson,0.0,0.09090909090909091,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,4.636363636363637,WR,0.0,0.09090909090909091,42.18181818181818,3.090909090909091,0.0,0.2727272727272727,0.0,3.8181818181818183,0.5454545454545454
5288,2016.0,17,Robby Anderson,0.0,0.08333333333333333,Bills,0.0,0.0,0.0,0.0,0.0,0.0,5.416666666666667,WR,0.0,0.16666666666666666,45.333333333333336,3.1666666666666665,0.0,0.25,0.0,3.5,0.5
