,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2016,1,Seth Roberts,0,0,Saints,0,0,0,0,0,0,7.0,WR,0,1,19,2,0,0,0,0,1,Saints,0,0,0,Raiders,319,35,0.0,DST,167,0.0,0,486,0,0
1,2016,2,Seth Roberts,0,0,Falcons,0,0,0,0,0,0,2.0,WR,0,0,25,3,0,0,0,0,0,Falcons,0,0,0,Raiders,299,28,1.0,DST,155,1.0,0,454,0,1
2,2016,3,Seth Roberts,0,0,Titans,0,0,0,0,0,0,8.0,WR,0,1,27,2,0,0,0,0,1,Titans,0,0,1,Raiders,245,17,7.0,DST,123,1.0,0,368,0,0
3,2016,4,Seth Roberts,0,0,Ravens,0,0,0,0,0,0,7.0,WR,0,1,12,3,0,0,0,0,1,Ravens,0,1,0,Raiders,199,28,2.0,DST,62,0.0,0,261,0,0
4,2016,5,Seth Roberts,0,0,Chargers,0,0,0,0,0,0,2.0,WR,0,0,22,2,0,0,0,0,0,Chargers,0,0,1,Raiders,300,34,5.0,DST,89,3.0,0,389,0,1
5,2016,6,Seth Roberts,0,0,Chiefs,0,0,0,0,0,0,2.0,WR,0,0,29,3,0,0,0,0,0,Chiefs,0,1,1,Raiders,221,10,13.0,DST,64,2.0,0,285,0,1
6,2016,7,Seth Roberts,0,0,Jaguars,0,0,0,0,0,0,4.0,WR,0,0,42,4,0,0,0,0,1,Jaguars,0,0,0,Raiders,200,33,0.0,DST,144,0.0,0,344,0,0
7,2016,8,Seth Roberts,0,0,Buccaneers,0,0,0,0,0,0,12.0,WR,0,1,69,3,0,0,0,0,1,Buccaneers,0,1,0,Raiders,498,30,4.0,DST,128,2.0,0,626,0,0
8,2016,9,Seth Roberts,0,0,Broncos,0,0,0,0,0,0,3.0,WR,0,0,32,3,0,0,0,0,0,Broncos,0,0,0,Raiders,179,30,2.0,DST,218,2.0,0,397,0,1
9,2016,11,Seth Roberts,0,0,Texans,0,0,0,0,0,0,0.0,WR,0,0,6,1,0,0,0,0,0,Texans,0,0,1,Raiders,295,27,3.0,DST,30,0.0,0,325,0,1
10,2016,12,Seth Roberts,0,0,Panthers,0,0,0,0,0,0,11.0,WR,1,1,31,3,0,0,0,0,0,Panthers,0,1,1,Raiders,310,35,5.0,DST,56,1.0,0,366,0,1
11,2016,13,Seth Roberts,0,0,Bills,0,0,0,0,0,0,3.0,WR,1,0,18,2,0,0,0,0,0,Bills,0,0,0,Raiders,260,38,0.0,DST,139,0.0,0,399,0,1
12,2016,14,Seth Roberts,0,0,Chiefs,0,0,0,0,0,0,1.0,WR,0,0,12,2,0,0,0,0,1,Chiefs,0,0,0,Raiders,109,13,14.0,DST,135,1.0,0,244,1,0
13,2016,15,Seth Roberts,0,0,Chargers,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,0,0,0,1,Chargers,0,1,1,Raiders,200,19,10.0,DST,145,2.0,0,345,0,0
14,2016,17,Seth Roberts,0,0,Broncos,0,0,0,0,0,0,2.0,WR,0,0,26,3,0,0,0,0,1,Broncos,0,2,1,Raiders,164,6,18.0,DST,57,2.0,0,221,0,0
15,2015,1,Seth Roberts,0,0,Bengals,0,0,0,0,0,0,1.0,WR,0,0,12,3,0,0,0,0,0,Bengals,0,1,1,Raiders,183,13,13.0,DST,63,2.0,0,246,0,1
16,2015,2,Seth Roberts,0,0,Ravens,0,0,0,0,0,0,7.0,WR,0,1,12,1,0,0,0,0,0,Ravens,0,0,1,Raiders,351,37,3.0,DST,97,1.0,0,448,0,1
17,2015,3,Seth Roberts,0,0,Browns,0,0,0,0,0,0,11.0,WR,0,1,56,3,0,0,0,0,1,Browns,0,1,0,Raiders,314,27,3.0,DST,155,0.0,0,469,0,0
18,2015,7,Seth Roberts,0,0,Chargers,0,0,0,0,0,0,0.0,WR,0,0,6,1,0,0,0,0,1,Chargers,0,0,0,Raiders,282,37,1.0,DST,130,1.0,0,412,0,0
19,2015,8,Seth Roberts,0,0,Jets,0,0,0,0,0,0,2.0,WR,0,0,21,1,0,0,0,0,0,Jets,0,0,0,Raiders,333,34,0.0,DST,118,0.0,0,451,0,1
20,2015,9,Seth Roberts,0,0,Steelers,0,0,0,0,0,0,7.0,WR,0,0,73,3,0,0,0,0,1,Steelers,0,3,1,Raiders,301,35,8.0,DST,139,0.0,0,440,0,0
21,2015,11,Seth Roberts,0,0,Lions,0,0,0,0,0,0,5.0,WR,0,0,54,2,0,0,0,0,1,Lions,0,0,0,Raiders,164,13,10.0,DST,52,1.0,1,216,0,0
22,2015,12,Seth Roberts,0,0,Titans,0,0,0,0,0,0,23.0,WR,0,2,113,6,0,0,0,0,1,Titans,0,2,0,Raiders,323,24,6.0,DST,84,1.0,0,407,0,0
23,2015,13,Seth Roberts,0,0,Chiefs,0,0,0,0,0,0,5.0,WR,0,0,51,4,0,0,0,0,0,Chiefs,0,0,3,Raiders,262,20,20.0,DST,99,4.0,0,361,1,1
24,2015,14,Seth Roberts,0,0,Broncos,0,0,0,0,0,0,8.0,WR,0,1,20,2,0,0,0,0,1,Broncos,0,0,0,Raiders,99,15,7.0,DST,27,3.0,0,126,0,0
25,2015,16,Seth Roberts,0,0,Chargers,0,0,0,0,0,0,5.0,WR,1,0,37,2,0,0,0,0,0,Chargers,0,0,1,Raiders,175,23,6.0,DST,106,3.0,0,281,0,1
26,2015,17,Seth Roberts,0,0,Chiefs,0,0,0,0,0,0,2.0,WR,0,0,20,3,0,0,0,0,1,Chiefs,1,0,1,Raiders,157,17,16.0,DST,48,6.0,1,205,0,0
