,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2010,1,Steve Breaston,0,0,Rams,0,0,0,0,0,0,13.0,WR,0,0,132,7,0,0,0,0,1,Rams,0,4,0,Cardinals,266,17,14.0,DST,112,2.0,0,378,0,0
1,2010,2,Steve Breaston,0,0,Falcons,0,0,0,0,0,0,1.0,WR,0,0,10,3,0,0,0,0,1,Falcons,0,0,3,Cardinals,149,7,15.0,DST,118,2.0,0,267,0,0
2,2010,3,Steve Breaston,0,0,Raiders,0,0,0,0,0,0,10.0,WR,0,1,41,4,0,1,0,4,0,Raiders,0,2,1,Cardinals,108,24,9.0,DST,119,2.0,0,227,0,1
3,2010,8,Steve Breaston,0,0,Buccaneers,0,0,0,0,0,0,15.0,WR,0,0,147,8,0,1,0,14,0,Buccaneers,0,0,4,Cardinals,296,35,21.0,DST,100,1.0,0,396,2,1
4,2010,10,Steve Breaston,0,0,Seahawks,0,0,0,0,0,0,9.0,WR,0,0,98,4,0,0,0,0,0,Seahawks,0,1,1,Cardinals,286,18,13.0,DST,41,5.0,0,327,0,1
5,2010,11,Steve Breaston,0,0,Chiefs,0,0,0,0,0,0,9.0,WR,0,0,92,5,0,0,0,0,1,Chiefs,0,0,0,Cardinals,281,13,9.0,DST,101,2.0,0,382,0,0
6,2010,12,Steve Breaston,0,0,49ers,0,0,0,0,0,0,2.0,WR,0,0,22,2,0,0,0,0,0,49ers,0,1,1,Cardinals,190,6,15.0,DST,13,1.0,0,203,0,1
7,2010,13,Steve Breaston,0,0,Rams,0,0,0,0,0,0,6.0,WR,0,0,62,3,0,0,0,0,0,Rams,0,0,2,Cardinals,119,6,18.0,DST,105,4.0,0,224,0,1
8,2010,14,Steve Breaston,0,0,Broncos,0,1,0,0,0,0,2.0,WR,0,0,18,2,0,1,0,17,0,Broncos,0,1,0,Cardinals,146,43,2.0,DST,211,0.0,0,357,0,1
9,2010,15,Steve Breaston,0,0,Panthers,0,0,0,0,0,0,4.0,WR,0,0,42,2,0,0,0,0,1,Panthers,0,1,1,Cardinals,175,12,14.0,DST,43,3.0,0,218,0,0
10,2010,17,Steve Breaston,0,0,49ers,0,0,0,0,0,0,2.0,WR,0,0,26,4,0,0,0,0,1,49ers,0,0,2,Cardinals,201,7,23.0,DST,78,6.0,0,279,1,0
