,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
10769,2014,1,Steve Smith,0,0,Bengals,0,0,0,0,0,0,17.0,WR,0,1,118,7,0,0,0,0,0
10899,2014,2,Steve Smith,0,0,Steelers,0,0,0,0,0,0,7.0,WR,0,0,71,6,0,0,0,0,0
11015,2014,3,Steve Smith,0,0,Browns,0,0,0,0,0,0,10.0,WR,0,0,101,5,0,0,0,0,1
11116,2014,4,Steve Smith,0,0,Panthers,0,0,0,0,0,0,25.0,WR,0,2,139,7,0,0,0,0,0
11278,2014,5,Steve Smith,0,1,Colts,0,0,0,0,0,0,2.0,WR,0,0,34,5,0,0,0,0,1
11339,2014,6,Steve Smith,0,0,Buccaneers,0,0,0,0,0,0,17.0,WR,0,1,110,5,0,0,0,0,1
11487,2014,7,Steve Smith,0,0,Falcons,0,0,0,0,0,0,6.0,WR,0,0,67,3,0,0,0,0,0
11616,2014,8,Steve Smith,0,0,Bengals,0,0,0,0,0,0,3.0,WR,0,0,35,3,0,0,0,0,1
11715,2014,9,Steve Smith,0,0,Steelers,0,0,0,0,0,0,3.0,WR,0,0,36,5,0,0,0,0,1
11833,2014,10,Steve Smith,0,0,Titans,0,0,0,0,0,0,1.0,WR,0,0,17,3,0,0,0,0,0
11965,2014,12,Steve Smith,0,0,Saints,0,0,0,0,0,0,14.0,WR,0,1,89,4,0,0,0,0,1
12165,2014,13,Steve Smith,0,0,Chargers,0,0,0,0,0,0,0.0,WR,0,0,2,1,0,0,0,0,0
12191,2014,14,Steve Smith,0,0,Dolphins,0,0,0,0,0,0,13.0,WR,0,1,70,7,0,0,0,0,1
12342,2014,15,Steve Smith,0,0,Jaguars,0,0,0,0,0,0,3.0,WR,0,0,37,5,0,0,0,0,0
12451,2014,16,Steve Smith,0,0,Texans,0,0,0,0,0,0,4.0,WR,0,0,49,5,0,0,0,0,1
12528,2014,17,Steve Smith,0,0,Browns,0,0,0,0,0,0,9.0,WR,0,0,90,8,0,0,0,0,0
