,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
8993,2012,1,Stevie Johnson,0,0,Jets,0,0,0,0,0,0,11.0,WR,0,1,55,4,0,0,0,0,1
9099,2012,2,Stevie Johnson,0,0,Chiefs,0,0,0,0,0,0,11.0,WR,0,1,56,2,0,0,0,0,0
9217,2012,3,Stevie Johnson,0,0,Browns,0,0,0,0,0,0,12.0,WR,0,1,61,7,0,0,0,0,1
9381,2012,4,Stevie Johnson,0,0,Patriots,0,0,0,0,0,0,2.0,WR,0,0,23,2,0,0,0,0,0
9477,2012,5,Stevie Johnson,0,0,49ers,0,0,0,0,0,0,3.0,WR,0,0,39,6,0,0,0,0,1
9554,2012,6,Stevie Johnson,0,0,Cardinals,0,0,0,0,0,0,8.0,WR,0,0,82,6,0,0,0,0,1
9632,2012,7,Stevie Johnson,0,0,Titans,0,0,0,0,0,0,13.0,WR,0,1,71,5,0,0,0,0,0
9873,2012,9,Stevie Johnson,0,0,Texans,0,0,0,0,0,0,2.0,WR,0,0,29,3,0,0,0,0,1
9934,2012,10,Stevie Johnson,0,0,Patriots,0,0,0,0,0,0,8.0,WR,0,0,86,6,0,0,0,0,1
10035,2012,11,Stevie Johnson,0,0,Dolphins,0,0,0,0,0,0,7.0,WR,0,0,79,6,0,0,0,0,0
10133,2012,12,Stevie Johnson,0,0,Colts,0,0,0,0,0,0,10.0,WR,0,0,106,6,0,0,0,0,1
10250,2012,13,Stevie Johnson,0,0,Jaguars,0,0,0,0,0,0,7.0,WR,0,1,18,2,0,0,0,0,0
10365,2012,14,Stevie Johnson,0,0,Rams,0,0,0,0,0,0,7.0,WR,0,0,71,6,0,0,0,0,0
10447,2012,15,Stevie Johnson,0,0,Seahawks,0,0,0,0,0,0,17.0,WR,0,1,115,8,0,0,0,0,0
10606,2012,16,Stevie Johnson,0,1,Dolphins,0,0,0,0,0,0,3.0,WR,0,0,44,4,0,0,0,0,1
10677,2012,17,Stevie Johnson,0,0,Jets,0,0,0,0,0,0,11.0,WR,0,0,111,6,0,0,0,0,0
