,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
5424,2013.0,1,T.Y. Hilton,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0
5470,2013.0,2,T.Y. Hilton,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0
5656,2013.0,3,T.Y. Hilton,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,7.0,WR,0.0,0.0,72.0,4.5,0.0,0.0,0.0,0.0,0.0
5730,2013.0,4,T.Y. Hilton,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR,0.0,0.0,52.333333333333336,3.6666666666666665,0.0,0.0,0.0,0.0,0.3333333333333333
5786,2013.0,5,T.Y. Hilton,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,4.75,WR,0.0,0.0,50.5,3.75,0.0,0.5,0.0,1.5,0.5
5927,2013.0,6,T.Y. Hilton,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,9.0,WR,0.0,0.4,68.4,4.0,0.0,0.4,0.0,1.2,0.4
6070,2013.0,7,T.Y. Hilton,0.0,0.0,Broncos,0.0,0.0,0.0,0.0,0.0,0.0,8.166666666666666,WR,0.0,0.3333333333333333,64.16666666666667,4.166666666666667,0.0,0.3333333333333333,0.0,1.0,0.5
6198,2013.0,9,T.Y. Hilton,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,7.285714285714286,WR,0.0,0.2857142857142857,58.857142857142854,3.857142857142857,0.0,0.2857142857142857,0.0,0.8571428571428571,0.42857142857142855
6304,2013.0,10,T.Y. Hilton,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,10.125,WR,0.0,0.625,66.625,4.25,0.0,0.25,0.0,0.75,0.5
6432,2013.0,11,T.Y. Hilton,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,10.444444444444445,WR,0.0,0.5555555555555556,73.66666666666667,4.555555555555555,0.0,0.2222222222222222,0.0,0.6666666666666666,0.4444444444444444
6547,2013.0,12,T.Y. Hilton,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,9.8,WR,0.0,0.5,70.7,4.6,0.0,0.2,0.0,0.6,0.5
6641,2013.0,13,T.Y. Hilton,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,9.181818181818182,WR,0.0,0.45454545454545453,67.72727272727273,4.636363636363637,0.0,0.18181818181818182,0.0,0.5454545454545454,0.5454545454545454
6803,2013.0,14,T.Y. Hilton,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,8.75,WR,0.0,0.4166666666666667,65.91666666666667,4.666666666666667,0.0,0.16666666666666666,0.0,0.5,0.5
6850,2013.0,15,T.Y. Hilton,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,8.076923076923077,WR,0.0,0.38461538461538464,61.38461538461539,4.461538461538462,0.0,0.15384615384615385,0.0,0.46153846153846156,0.5384615384615384
6966,2013.0,16,T.Y. Hilton,0.0,0.0,Chiefs,0.0,0.0,0.0,0.0,0.0,0.0,8.0,WR,0.0,0.35714285714285715,62.57142857142857,4.714285714285714,0.0,0.14285714285714285,0.0,0.42857142857142855,0.5
7049,2013.0,17,T.Y. Hilton,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,7.8,WR,0.0,0.3333333333333333,61.86666666666667,4.733333333333333,0.0,0.13333333333333333,0.0,0.4,0.5333333333333333
