,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
7168,2015,1,T.Y. Hilton,0,0,Bills,0,0,0,0,0,0,8.0,WR,0,0,88,7,0,0,0,0,1
7318,2015,2,T.Y. Hilton,0,0,Jets,0,0,0,0,0,0,4.0,WR,0,0,45,4,0,0,0,0,0
7401,2015,3,T.Y. Hilton,0,0,Titans,0,0,0,0,0,0,9.0,WR,0,0,94,4,0,0,0,0,1
7527,2015,4,T.Y. Hilton,0,0,Jaguars,0,0,0,0,0,0,6.0,WR,0,0,67,7,0,0,0,0,0
7612,2015,5,T.Y. Hilton,0,0,Texans,0,0,0,0,0,0,8.0,WR,0,0,88,5,0,0,0,0,1
7698,2015,6,T.Y. Hilton,0,0,Patriots,0,0,0,0,0,0,13.0,WR,0,1,74,6,0,0,0,0,0
7789,2015,7,T.Y. Hilton,0,0,Saints,0,0,0,0,0,0,27.0,WR,0,2,150,4,0,0,0,0,0
7969,2015,8,T.Y. Hilton,0,0,Panthers,0,0,0,0,0,0,1.0,WR,0,0,15,1,0,0,0,0,1
8020,2015,9,T.Y. Hilton,0,0,Broncos,0,0,0,0,0,0,8.0,WR,0,0,82,5,0,0,0,0,0
8248,2015,11,T.Y. Hilton,0,0,Falcons,0,0,0,0,0,0,2.0,WR,0,0,21,2,0,0,0,0,1
8289,2015,12,T.Y. Hilton,0,0,Buccaneers,0,0,0,0,0,0,21.0,WR,0,2,95,6,0,0,0,0,0
8460,2015,13,T.Y. Hilton,0,0,Steelers,0,0,0,0,0,0,3.0,WR,0,0,36,3,0,0,0,0,1
8527,2015,14,T.Y. Hilton,0,0,Jaguars,0,0,0,0,0,0,13.0,WR,0,0,132,4,0,0,0,0,1
8715,2015,15,T.Y. Hilton,0,0,Texans,0,0,0,0,0,0,2.0,WR,0,0,29,3,0,0,0,0,0
8787,2015,16,T.Y. Hilton,0,0,Dolphins,0,0,0,0,0,0,6.0,WR,0,0,64,4,0,0,0,0,1
8918,2015,17,T.Y. Hilton,0,0,Titans,0,0,0,0,0,0,4.0,WR,0,0,44,4,0,0,0,0,0
