,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
513,2011,5,Terrance Copper,0,0,Colts,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,1
1262,2011,13,Terrance Copper,0,0,Bears,0,0,0,0,0,0,1.0,WR,0,0,10,1,0,0,0,0,1
1468,2011,15,Terrance Copper,0,0,Packers,0,0,0,0,0,0,2.0,WR,0,0,20,2,0,0,0,0,0
1546,2011,16,Terrance Copper,0,0,Raiders,0,0,0,0,0,0,6.0,WR,0,0,61,3,0,0,0,0,0
1710,2011,17,Terrance Copper,0,0,Broncos,0,0,0,0,0,0,1.0,WR,0,0,14,1,0,0,0,0,1
2197,2010,5,Terrance Copper,0,0,Colts,0,0,0,0,0,0,1.0,WR,0,0,10,2,0,0,0,0,1
2383,2010,7,Terrance Copper,0,0,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,16,1,0,0,0,0,0
2481,2010,8,Terrance Copper,0,0,Bills,0,0,0,0,0,0,0.0,WR,0,0,5,1,0,0,0,0,0
2547,2010,9,Terrance Copper,0,0,Raiders,0,0,0,0,0,0,2.0,WR,0,0,26,2,0,0,0,0,1
2625,2010,10,Terrance Copper,0,0,Broncos,0,0,0,0,0,0,5.0,WR,0,0,55,5,0,0,0,0,1
2771,2010,11,Terrance Copper,0,0,Cardinals,0,0,0,0,0,0,0.0,WR,0,0,5,1,0,0,0,0,0
2880,2010,12,Terrance Copper,0,0,Seahawks,0,0,0,0,0,0,0.0,WR,0,0,6,1,0,0,0,0,1
2972,2010,13,Terrance Copper,0,0,Broncos,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,0
3075,2010,14,Terrance Copper,0,0,Chargers,0,0,0,0,0,0,1.0,WR,0,0,15,2,0,0,0,0,1
3305,2010,16,Terrance Copper,0,0,Titans,0,0,0,0,0,0,0.0,WR,0,0,6,1,0,0,0,0,0
10060,2012,11,Terrance Copper,0,0,Bengals,0,0,0,0,0,0,3.0,WR,0,0,33,3,0,0,0,0,0
10197,2012,12,Terrance Copper,0,0,Broncos,0,0,0,0,0,0,1.0,WR,0,0,14,2,0,1,0,1,0
10398,2012,14,Terrance Copper,0,0,Browns,0,0,0,0,0,0,3.0,WR,0,0,32,3,0,0,0,0,1
