,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
218,2011,3,Torrey Smith,0,0,Rams,0,0,0,0,0,0,34.0,WR,0,3,152,5,0,1,0,10,1
420,2011,4,Torrey Smith,0,0,Jets,0,0,0,0,0,0,0.0,WR,0,0,1,1,0,0,0,0,0
537,2011,6,Torrey Smith,0,0,Texans,0,0,0,0,0,0,8.0,WR,0,0,84,3,0,0,0,0,0
639,2011,7,Torrey Smith,0,0,Jaguars,0,0,0,0,0,0,3.0,WR,0,0,32,3,0,0,0,0,1
726,2011,8,Torrey Smith,0,0,Cardinals,0,0,0,0,0,0,5.0,WR,0,0,57,3,0,0,0,0,0
780,2011,9,Torrey Smith,0,0,Steelers,0,0,0,0,0,0,13.0,WR,0,1,71,5,0,0,0,0,1
924,2011,10,Torrey Smith,0,0,Seahawks,0,0,0,0,0,0,3.0,WR,0,0,28,3,0,1,0,16,1
974,2011,11,Torrey Smith,0,0,Bengals,0,0,0,0,0,0,22.0,WR,0,1,165,6,0,0,0,0,0
1131,2011,12,Torrey Smith,0,0,49ers,0,0,0,0,0,0,2.0,WR,0,0,23,2,0,0,0,0,0
1233,2011,13,Torrey Smith,0,0,Browns,0,0,0,0,0,0,3.0,WR,0,0,32,1,0,1,0,-3,1
1305,2011,14,Torrey Smith,0,0,Colts,0,0,0,0,0,0,11.0,WR,0,1,48,5,0,1,0,16,0
1403,2011,15,Torrey Smith,0,0,Chargers,0,0,0,0,0,0,13.0,WR,0,1,77,6,0,0,0,0,1
1569,2011,16,Torrey Smith,0,0,Browns,0,0,0,0,0,0,3.0,WR,0,0,38,2,0,0,0,0,0
1676,2011,17,Torrey Smith,0,0,Bengals,0,0,0,0,0,0,3.0,WR,0,0,33,5,0,0,0,0,1
