,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
1,2011,1,Wes Welker,0,0,Dolphins,0,0,0,0,0,0,28.0,WR,0,2,160,8,0,0,0,0,1
139,2011,2,Wes Welker,0,0,Chargers,0,0,0,0,0,0,8.0,WR,0,0,81,7,0,0,0,0,0
217,2011,3,Wes Welker,0,0,Bills,0,0,0,0,0,0,34.0,WR,0,2,217,16,0,1,0,19,1
320,2011,4,Wes Welker,0,0,Raiders,0,0,0,0,0,0,21.0,WR,0,1,158,9,0,0,0,0,1
444,2011,5,Wes Welker,0,0,Jets,0,0,0,0,0,0,12.0,WR,0,0,124,5,0,0,0,0,0
526,2011,6,Wes Welker,0,0,Cowboys,0,0,0,0,0,0,10.0,WR,0,1,45,6,0,0,0,0,0
743,2011,8,Wes Welker,0,0,Steelers,0,0,0,0,0,0,3.0,WR,0,0,39,6,0,0,0,0,1
779,2011,9,Wes Welker,0,0,Giants,0,0,0,0,0,0,14.0,WR,0,0,136,9,0,1,0,13,0
912,2011,10,Wes Welker,0,0,Jets,0,0,0,0,0,0,4.0,WR,0,0,46,6,0,0,0,0,1
1032,2011,11,Wes Welker,0,0,Chiefs,0,0,0,0,0,0,2.0,WR,0,0,22,2,0,0,0,0,0
1071,2011,12,Wes Welker,0,0,Eagles,0,0,0,0,0,0,23.0,WR,0,2,115,8,0,1,0,-9,1
1188,2011,13,Wes Welker,0,0,Colts,0,0,0,0,0,0,11.0,WR,0,0,110,11,0,0,0,0,0
1296,2011,14,Wes Welker,0,0,Redskins,0,0,0,0,0,0,14.0,WR,0,1,86,7,0,0,0,0,1
1443,2011,15,Wes Welker,0,0,Broncos,0,0,0,0,0,0,4.0,WR,0,0,41,4,0,0,0,0,1
1522,2011,16,Wes Welker,0,0,Dolphins,0,0,0,0,0,0,13.0,WR,0,0,138,12,0,1,0,7,0
1661,2011,17,Wes Welker,0,0,Bills,0,0,0,0,0,0,5.0,WR,0,0,51,6,0,0,0,0,0
1730,2010,1,Wes Welker,0,0,Bengals,0,0,0,0,0,0,18.0,WR,0,2,64,8,0,0,0,0,0
1844,2010,2,Wes Welker,0,0,Jets,0,0,0,0,0,0,9.0,WR,0,1,38,6,0,0,0,0,1
1975,2010,3,Wes Welker,0,0,Bills,0,0,0,0,0,0,4.0,WR,0,0,45,4,0,0,0,0,0
2048,2010,4,Wes Welker,0,0,Dolphins,0,0,0,0,0,0,7.0,WR,0,0,70,8,0,0,0,0,1
2257,2010,6,Wes Welker,0,0,Ravens,0,0,0,0,0,0,5.0,WR,0,0,53,7,0,0,0,0,0
2366,2010,7,Wes Welker,0,0,Chargers,0,0,0,0,0,0,2.0,WR,0,0,25,4,0,0,0,0,1
2461,2010,8,Wes Welker,0,0,Min,0,0,0,0,0,0,2.0,WR,0,0,24,3,0,0,0,0,0
2527,2010,9,Wes Welker,0,0,Browns,0,0,0,0,0,0,4.0,WR,0,0,36,4,0,0,0,0,1
