,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
0,0,0,Jimmy Graham,Was,0,0,0,0,0,0,14.00,TE,0,1,85,6,0,0,0,0,1,2012
1,0,0,Dennis Pitta,Cin,0,0,0,0,0,0,13.00,TE,0,1,73,5,0,0,0,0,1,2012
2,0,0,Rob Gronkowski,@Ten,0,0,0,0,0,0,12.00,TE,0,1,60,6,0,0,0,0,1,2012
3,0,0,Heath Miller,@Den,0,0,0,0,0,0,11.00,TE,0,1,50,4,0,0,0,0,1,2012
4,0,0,Marcedes Lewis,@Min,0,0,0,0,0,0,11.00,TE,0,1,52,5,0,0,0,0,1,2012
5,0,0,Aaron Hernandez,@Ten,0,0,0,0,0,0,11.00,TE,0,1,59,6,0,1,0,5,1,2012
6,0,0,Tony Gonzalez,@KC,0,0,0,0,0,0,11.00,TE,0,1,53,5,0,0,0,0,1,2012
7,0,0,Jacob Tamme,Pit,0,0,0,0,0,0,10.00,TE,0,1,43,5,0,0,0,0,1,2012
8,0,0,Jermichael Finley,SF,0,0,0,0,0,0,10.00,TE,0,1,47,7,0,0,0,0,1,2012
9,0,0,Vernon Davis,@GB,0,0,0,0,0,0,10.00,TE,0,1,43,3,0,0,0,0,1,2012
10,0,0,Martellus Bennett,Dal,0,0,0,0,0,0,10.00,TE,0,1,40,4,0,0,0,0,1,2012
11,0,0,Scott Chandler,@NYJ,0,0,0,0,0,0,9.00,TE,0,1,38,4,0,0,0,0,1,2012
12,0,0,Kevin Boss,Atl,0,0,0,0,0,0,9.00,TE,0,1,36,2,0,0,0,0,1,2012
13,0,0,Coby Fleener,@Chi,0,0,0,0,0,0,8.00,TE,0,0,82,6,0,0,0,0,1,2012
14,0,0,Owen Daniels,Mia,0,0,0,0,0,0,8.00,TE,0,0,87,4,0,0,0,0,1,2012
15,0,0,Brandon Pettigrew,Stl,0,0,0,0,0,0,7.00,TE,0,0,77,5,0,0,0,0,1,2012
16,0,0,Clay Harbor,@Cle,0,0,0,0,0,0,7.00,TE,0,1,16,3,0,0,0,0,1,2012
17,0,0,Kyle Rudolph,Jax,0,0,0,0,0,0,6.00,TE,0,0,67,5,0,0,0,0,1,2012
18,0,0,Brandon Myers,SD,0,0,0,0,0,0,6.00,TE,0,0,65,5,0,0,0,0,1,2012
19,0,0,Jared Cook,NE,0,0,0,0,0,0,6.00,TE,0,0,64,4,0,0,0,0,1,2012
20,0,0,Brent Celek,@Cle,0,0,0,0,0,0,6.00,TE,0,0,65,4,0,0,0,0,1,2012
21,0,0,Greg Olsen,@TB,0,0,0,0,0,0,5.00,TE,0,0,56,6,0,0,0,0,1,2012
22,0,0,Zach Miller,@Ari,0,0,0,0,0,0,4.00,TE,0,0,40,3,0,0,0,0,1,2012
23,0,0,Antonio Gates,@Oak,0,0,0,0,0,0,4.00,TE,0,0,43,4,0,0,0,0,1,2012
24,0,0,Tony Scheffler,Stl,0,0,0,0,0,0,3.00,TE,0,0,30,5,0,0,0,0,1,2012
25,0,0,Tony Moeaki,Atl,0,0,0,0,0,0,3.00,TE,0,0,37,3,0,0,0,0,1,2012
26,0,0,Todd Heap,Sea,0,0,0,0,0,0,3.00,TE,0,0,32,3,0,0,0,0,1,2012
27,0,0,Jermaine Gresham,@Bal,0,0,0,0,0,0,3.00,TE,0,0,30,3,0,0,0,0,1,2012
28,0,0,Fred Davis,@NO,0,0,0,0,0,0,3.00,TE,0,0,38,2,0,0,0,0,1,2012
29,0,0,Dallas Clark,Car,0,0,0,0,0,0,3.00,TE,0,0,33,1,0,0,0,0,1,2012
30,0,0,Logan Paulsen,@NO,0,0,0,0,0,0,2.00,TE,0,0,22,1,0,0,0,0,1,2012
31,0,0,Ed Dickson,Cin,0,0,0,0,0,0,2.00,TE,0,0,22,2,0,0,0,0,1,2012
32,0,0,Jason Witten,@NYG,0,0,0,0,0,0,1.00,TE,0,0,10,2,0,0,0,0,1,2012
33,0,0,Mike McNeill,@Det,0,0,0,0,0,0,1.00,TE,0,0,10,1,0,0,0,0,1,2012
34,0,0,Lance Kendricks,@Det,0,0,0,0,0,0,1.00,TE,0,0,16,2,0,0,0,0,1,2012
35,0,0,Will Heller,Stl,0,0,0,0,0,0,1.00,TE,0,0,19,2,0,0,0,0,1,2012
36,0,0,James Hanna,@NYG,0,0,0,0,0,0,1.00,TE,0,0,10,1,0,0,0,0,1,2012
37,0,0,Anthony Fasano,@Hou,0,0,0,0,0,0,1.00,TE,0,0,19,3,0,0,0,0,1,2012
38,0,0,James Casey,Mia,0,0,0,0,0,0,1.00,TE,0,0,17,1,0,0,0,0,1,2012
39,0,0,Kyle Adams,Ind,0,0,0,0,0,0,1.00,TE,0,0,17,1,0,0,0,0,1,2012
40,0,0,Benjamin Watson,Phi,0,0,0,0,0,0,0.00,TE,0,0,9,2,0,0,0,0,1,2012
41,0,0,David Thomas,Was,0,0,0,0,0,0,0.00,TE,0,0,5,1,0,0,0,0,1,2012
42,0,0,Craig Stevens,NE,0,0,0,0,0,0,0.00,TE,0,0,5,1,0,0,0,0,1,2012
43,0,0,Lee Smith,@NYJ,0,0,0,0,0,0,0.00,TE,0,0,5,1,0,0,0,0,1,2012
44,0,0,Alex Smith,Phi,0,0,0,0,0,0,0.00,TE,0,0,-1,1,0,0,0,0,1,2012
45,0,0,John Phillips,@NYG,0,0,0,0,0,0,0.00,TE,0,0,6,1,0,0,0,0,1,2012
46,0,0,Bear Pascoe,Dal,0,0,0,0,0,0,0.00,TE,0,0,6,1,0,0,0,0,1,2012
47,0,0,Michael Palmer,@KC,0,0,0,0,0,0,0.00,TE,0,0,6,1,0,0,0,0,1,2012
48,0,0,Jeff King,Sea,0,0,0,0,0,0,0.00,TE,0,0,8,2,0,0,0,0,1,2012
49,0,0,Dustin Keller,Buf,0,0,0,0,0,0,0.00,TE,0,0,7,1,0,0,0,0,1,2012
50,0,0,Dominique Jones,@Chi,0,0,0,0,0,0,0.00,TE,0,0,8,1,0,0,0,0,1,2012
51,0,0,Joel Dreessen,Pit,0,0,0,0,0,0,0.00,TE,0,0,6,1,0,0,0,0,1,2012
52,0,0,Dante Rosario,Ten,0,0,0,0,0,0,22.00,TE,0,3,48,4,0,0,0,0,2,2012
53,0,0,Vernon Davis,Det,0,0,0,0,0,0,19.00,TE,0,2,73,5,0,0,0,0,2,2012
54,0,0,Brent Celek,Bal,0,0,0,0,0,0,15.00,TE,0,0,157,8,0,0,0,0,2,2012
55,0,0,Rob Gronkowski,Ari,0,0,0,0,0,0,13.00,TE,0,1,75,6,0,0,0,0,2,2012
56,0,0,Jimmy Graham,@Car,0,0,0,0,0,0,13.00,TE,0,1,71,7,0,0,0,0,2,2012
57,0,0,Tony Gonzalez,Den,0,0,0,0,0,0,13.00,TE,0,1,70,7,0,0,0,0,2,2012
58,0,0,Martellus Bennett,TB,0,0,0,0,0,0,13.00,TE,0,1,72,5,0,0,0,0,2,2012
59,0,0,Scott Chandler,KC,0,0,0,0,0,0,11.00,TE,0,1,53,2,0,0,0,0,2,2012
60,0,0,Anthony McCoy,Dal,0,0,0,0,0,0,10.00,TE,0,1,41,5,0,0,0,0,2,2012
61,0,0,Kyle Rudolph,@Ind,0,0,0,0,0,0,9.00,TE,0,1,35,3,0,0,0,0,2,2012
62,0,0,Brandon Myers,@Mia,0,0,0,0,0,0,8.00,TE,0,0,86,6,0,0,0,0,2,2012
63,0,0,Kellen Davis,@GB,0,0,0,0,0,0,8.00,TE,0,1,21,1,0,0,0,0,2,2012
64,0,0,Tom Crabtree,Chi,0,0,0,0,0,0,8.00,TE,0,1,27,1,0,0,0,0,2,2012
65,0,0,Brandon Pettigrew,@SF,0,0,0,0,0,0,7.00,TE,0,1,18,3,0,0,0,0,2,2012
66,0,0,Matthew Mulligan,Was,0,0,0,0,0,0,7.00,TE,0,1,14,2,0,0,0,0,2,2012
67,0,0,Heath Miller,NYJ,0,0,0,0,0,0,7.00,TE,0,1,19,3,0,0,0,0,2,2012
68,0,0,Anthony Fasano,Oak,0,0,0,0,0,0,7.00,TE,0,1,19,2,0,0,0,0,2,2012
69,0,0,Dennis Pitta,@Phi,0,0,0,0,0,0,6.00,TE,0,0,65,8,0,0,0,0,2,2012
70,0,0,Todd Heap,@NE,0,0,0,0,0,0,6.00,TE,0,0,62,5,0,0,0,0,2,2012
71,0,0,Dwayne Allen,Min,0,0,0,0,0,0,6.00,TE,0,1,3,1,0,1,0,0,2,2012
72,0,0,Jason Witten,@Sea,0,0,0,0,0,0,5.00,TE,0,0,58,4,0,0,0,0,2,2012
73,0,0,Craig Stevens,@SD,0,0,0,0,0,0,4.00,TE,0,0,46,1,0,0,0,0,2,2012
74,0,0,Owen Daniels,@Jax,0,0,0,0,0,0,4.00,TE,0,0,47,6,0,0,0,0,2,2012
75,0,0,Alex Smith,@Cin,0,0,0,0,0,0,3.00,TE,0,0,30,3,0,0,0,0,2,2012
76,0,0,Jermaine Gresham,Cle,0,0,0,0,0,0,3.00,TE,0,0,37,4,0,0,0,0,2,2012
77,0,0,Ladarius Green,Ten,0,0,0,0,0,0,3.00,TE,0,0,31,1,0,0,0,0,2,2012
78,0,0,Dallas Clark,@NYG,0,0,0,0,0,0,3.00,TE,0,0,33,4,0,0,0,0,2,2012
79,0,0,Benjamin Watson,@Cin,0,0,0,0,0,0,2.00,TE,0,0,27,1,0,0,0,0,2,2012
80,0,0,Konrad Reuland,@Pit,0,0,0,0,0,0,2.00,TE,0,0,20,2,0,0,0,0,2,2012
81,0,0,Randy McMichael,Ten,0,0,0,0,0,0,2.00,TE,0,0,29,3,0,0,0,0,2,2012
82,0,0,Lance Kendricks,Was,0,0,0,0,0,0,2.00,TE,0,0,25,2,0,0,0,0,2,2012
83,0,0,Ed Dickson,@Phi,0,0,0,0,0,0,2.00,TE,0,0,23,1,0,0,0,0,2,2012
84,0,0,Jared Cook,@SD,0,0,0,0,0,0,2.00,TE,0,0,23,3,0,0,0,0,2,2012
85,0,0,Kevin Boss,@Buf,0,0,0,0,0,0,2.00,TE,0,0,29,1,0,0,0,0,2,2012
86,0,0,Jacob Tamme,@Atl,0,0,0,0,0,0,1.00,TE,0,0,13,2,0,0,0,0,2,2012
87,0,0,Tony Scheffler,@SF,0,0,0,0,0,0,1.00,TE,0,0,13,1,0,0,0,0,2,2012
88,0,0,John Phillips,@Sea,0,0,0,0,0,0,1.00,TE,0,0,16,2,0,0,0,0,2,2012
89,0,0,Greg Olsen,NO,0,0,0,0,0,0,1.00,TE,0,0,13,1,0,0,0,0,2,2012
90,0,0,Clay Harbor,Bal,0,0,0,0,0,0,1.00,TE,0,0,19,1,0,0,0,0,2,2012
91,0,0,Garrett Graham,@Jax,0,0,0,0,0,0,1.00,TE,0,0,15,1,0,0,0,0,2,2012
92,0,0,Coby Fleener,Min,0,0,0,0,0,0,1.00,TE,0,0,16,2,0,0,0,0,2,2012
